p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.2716252044199015e-11,0.7023194513593151,0.475,0,1.705536203478462e-7,1,Eif2s3y
8.017387142832722e-7,0.6983765818898595,0.983,0.722,0.006019454266838808,1,Gm3764
3.548563029392646e-6,0.5078330265927516,0.373,0.037,0.026642611224679986,1,Slc25a36
5.784477921992638e-6,0.7117797806083812,0.712,0.352,0.043429860238320725,1,Mir100hg
1.0335479928570306e-5,0.634084715606863,0.559,0.241,0.07759878330370586,1,Nfia
2.2348047630231797e-5,0.5446697947731227,0.508,0.185,0.16778914160778033,1,Ptgds
7.725654192791768e-5,0.6498520314651793,0.661,0.352,0.580042116794806,1,Rab34
6.678828302061049e-4,0.5153099080863517,0.593,0.296,1,1,Ddhd1
9.903124371163996e-4,0.5226600150113994,0.593,0.278,1,1,Pnn
8.63223737332241e-21,2.529853990769719,0.889,0.068,6.481083819890465e-17,2,Xist
2.8656708609151316e-12,1.1770508434551463,1,0.847,2.1515456823750808e-8,2,Cd81
1.546035270270688e-11,1.4176851800952268,0.926,0.746,1.1607632809192327e-7,2,Sparcl1
1.1271648723798278e-10,1.2566532803806303,0.87,0.542,8.462753861827747e-7,2,Agt
6.627812390540936e-10,1.195500153834207,0.889,0.475,4.976161542818135e-6,2,Clu
2.5826876518870657e-9,0.9132510352922372,0.759,0.22,1.9390818890368088e-5,2,Laptm4a
5.343753041526457e-8,0.9833656378631981,0.963,0.78,4.0120897835780635e-4,2,Nnat
1.4169546947662714e-7,0.8735720589468445,0.519,0.102,0.0010638495848305167,2,Cd9
2.3727453839926516e-7,0.7736470465618605,0.778,0.356,0.0017814572343016828,2,Tpt1
4.230919141140755e-6,0.5663285609380055,0.63,0.203,0.03176574091168479,2,Scg3
4.653483347702935e-6,0.8860496508050908,0.741,0.424,0.03493835297455364,2,Cd63
5.294180223531024e-6,0.7323468546684613,0.593,0.22,0.03974870511827092,2,Mlc1
2.0033971575255158e-5,0.795611056267874,0.852,0.627,0.15041505858701573,2,Cpe
3.0939211221396374e-5,0.640706803004141,0.741,0.441,0.23229159785024397,2,Serinc1
6.06974108983393e-5,0.5895413056686956,0.963,0.729,0.45571616102473145,2,Atp6v0c
6.232456301506353e-5,0.5982061667958233,0.667,0.322,0.467932819117097,2,Ctsl
6.686773345081955e-5,0.712718047919529,0.722,0.424,0.5020429427487532,2,Lamp1
9.995336161953822e-5,0.6480123585317135,0.556,0.254,0.750449839039493,2,Tmem47
1.0322091520435125e-4,0.5244145171623621,0.648,0.288,0.7749826313542691,2,Nkain4
2.7603677237408283e-4,0.6294154012249674,0.704,0.508,1,2,Pla2g7
2.805505115757843e-4,0.5427930464772166,0.519,0.203,1,2,Hsp90b1
2.918620440285394e-4,0.7479074763818288,0.778,0.61,1,2,Itm2c
4.3121868661781635e-4,0.5725403898712687,0.778,0.576,1,2,Ttc3
5.782638821185132e-4,0.5012139427258171,0.63,0.373,1,2,Tmem59
5.987569639080655e-4,0.7741185925836724,0.667,0.424,1,2,Dbi
6.296114336453258e-4,0.5156812008599752,0.704,0.373,1,2,Ptn
6.484970103918843e-4,0.5624754123389163,0.648,0.356,1,2,Ednrb
8.578377966038539e-4,0.5427930464772167,0.759,0.492,1,2,Gpm6a
9.614483993395222e-4,0.5110841867498781,0.796,0.559,1,2,Gpr37l1
0.001496390399708602,0.5691271942906788,0.648,0.441,1,2,Rps24
