p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.8196517535476957,0.909,0.279,0,16,Avp
5.973312445471002e-238,2.7766823685852886,0.54,0.165,1.2534996166820896e-233,16,Oxt
1.5773784657054347e-63,0.5726148265943962,0.853,0.577,3.3101287102828545e-59,20,Msmo1
2.4017858687749025e-53,0.5378353046307317,0.759,0.448,5.040147645624133e-49,20,Fjx1
2.512912064378364e-46,0.5224793657030765,0.686,0.42,5.2733459670979965e-42,20,Gm47283
8.200670978814058e-33,0.6182500340793508,0.597,0.37,1.7209108049041301e-28,20,Id3
4.608058870927955e-98,0.5747405980611958,0.694,0.395,9.670011540642314e-94,15,Lars2
6.286963412641904e-80,0.5196103217283461,0.807,0.55,1.3193192721429035e-75,15,Gm28438
1.3428571014351073e-34,0.5838520821637461,0.531,0.369,2.8179856273615727e-30,15,Id3
2.4768e-320,1.2477776421976023,0.905,0.466,5.19746215e-316,14,Ly6h
1.78422677422725e-310,1.3225886930996378,0.892,0.474,3.7441998857158884e-306,14,Resp18
7.756480607818182e-246,1.0200666378579517,0.687,0.23,1.6276974555506453e-241,14,Scg2
3.580844424818222e-245,1.0469828603846092,0.886,0.556,7.514402025481038e-241,14,Rtn1
8.494855671863909e-221,0.9557503750273146,0.752,0.328,1.7826454627406413e-216,14,Atp1b1
1.947447017844958e-210,0.920198450477735,0.803,0.431,4.086717566947644e-206,14,App
1.2592076140033055e-193,0.8369568231498243,0.685,0.264,2.6424471779859365e-189,14,Caly
9.202969009293502e-179,0.8546722285314287,0.806,0.511,1.9312430466002416e-174,14,Gaa
3.0677066617496137e-135,0.6698132018762861,0.568,0.218,6.437582429681564e-131,14,Faim2
3.153837697039459e-135,0.5769552874284235,0.452,0.128,6.618328407237304e-131,14,Tmem59l
2.1640582036741046e-131,0.6714497215138042,0.569,0.238,4.541276140410108e-127,14,Atp1a3
3.2592660104185956e-126,0.5938859125046146,0.435,0.129,6.839569722863423e-122,14,Tmem130
2.5527987979877875e-107,0.6438071073531767,0.655,0.39,5.357048277577372e-103,14,Scg5
6.875347602246999e-105,0.5215462181846532,0.449,0.149,1.4427916943315327e-100,14,Sv2a
1.3825203946467166e-104,0.5404195480309232,0.473,0.175,2.901219048166135e-100,14,Syp
1.8676485415939297e-104,0.5987190543786822,0.516,0.212,3.9192604645348616e-100,14,Slc12a5
5.411289239212752e-95,0.5032207928429994,0.411,0.147,1.135559046848796e-90,14,Atp1a1
4.3031651076268804e-94,0.5454810395283105,0.502,0.221,9.030191978355008e-90,14,Podxl2
7.532206843712097e-94,0.5192839996652894,0.409,0.144,1.5806336061529834e-89,14,Cacna2d1
1.8545371136754462e-92,0.5088170683115798,0.41,0.151,3.891746133047924e-88,14,Ptprn
5.1849242457571656e-86,0.5080440143727603,0.496,0.234,1.0880563529721413e-81,14,Timp2
1.1824119970847259e-82,0.6322009784404157,0.788,0.565,2.4812915758822976e-78,14,Stmn3
2.4241809218274412e-82,0.552803405607992,0.665,0.412,5.087143664454885e-78,14,Pgrmc1
6.716831144760124e-71,0.5172903458391758,0.846,0.691,1.409527015727912e-66,14,Ndfip1
2.8873062989835774e-95,0.5214616319300451,0.819,0.54,6.059012268417037e-91,7,Lfng
3.8299379750811856e-147,0.6784483873717639,0.909,0.685,8.037124840707868e-143,1,Mbp
2.0026560890409143e-113,0.5307014796728451,0.476,0.184,4.202573802852359e-109,5,Gfap
4.3125541190630066e-66,0.7039228754797225,0.546,0.364,9.04989481885372e-62,5,Id3
5.523757404250795e-122,0.5906179819475026,0.85,0.649,1.1591604912820294e-117,17,Kcnj10
3.73981686300178e-102,0.5295663049109602,0.829,0.596,7.848005687009234e-98,17,Sox9
2.5923111389977923e-94,0.5209737667438357,0.846,0.676,5.439964925186867e-90,17,Aqp4
