p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.9904581301690973e-17,1.2986583155645155,1,0.685,2.772171263028472e-13,1,Plpp3
1.0488343782285297e-12,1.0680864322962291,1,0.815,7.286252425553596e-9,1,Atp1a2
1.7967031180009292e-12,0.8950474023258819,1,0.796,1.2481696560752455e-8,1,Slc1a3
8.039876878200306e-11,1.1161827780359745,0.956,0.63,5.585302467285752e-7,1,Ednrb
3.3557829130500416e-10,0.8184906351041259,1,0.722,2.3312623896958637e-6,1,Slc4a4
5.039425924083798e-10,0.9428101698634617,0.941,0.611,3.500889189461014e-6,1,Gja1
7.588172018716127e-10,1.0222673782732266,0.956,0.667,5.271503101402093e-6,1,Slc6a11
1.9561629702612467e-8,0.8797282646259936,0.926,0.667,1.358946415440488e-4,1,Atp1b2
5.9472115998233786e-8,0.9499552423727202,0.971,0.759,4.131527898397301e-4,1,Agt
1.0592240402502537e-7,0.8194277543581794,0.691,0.259,7.358429407618512e-4,1,Gjb6
2.413109526564724e-7,0.8313107458741011,0.926,0.722,0.0016763871881045136,1,Gpr37l1
2.816508458752528e-7,1.0164758041622548,0.897,0.537,0.001956628426295381,1,Pla2g7
5.918211732098092e-7,0.7292008584998191,0.765,0.389,0.004111381690288545,1,Htra1
1.285054173476483e-6,0.8498406065386384,0.824,0.537,0.008927271343141127,1,Acsl3
1.8842961023607744e-6,0.8113904352927609,0.706,0.352,0.0130902050231003,1,Gpld1
1.983821497521598e-6,0.7898212922728559,0.824,0.463,0.013781607943282542,1,Luzp2
2.402154491396988e-6,0.7474239829783489,0.971,0.815,0.016687767251734875,1,Mt2
2.77587230965848e-6,0.6564535430921259,0.574,0.222,0.019283984935197458,1,Adgrg1
3.843690281826761e-6,0.7589230153986253,0.75,0.444,0.026702116387850507,1,F3
8.134255707854437e-6,0.6320026067022981,0.971,0.815,0.05650867440246478,1,Cd81
2.1017482220617006e-5,0.765726734524933,0.647,0.333,0.14600844898662635,1,Slc6a1
3.0291117205420203e-5,0.5643311679490254,0.765,0.426,0.21043239122605414,1,Agpat5
3.421498356735689e-5,0.5596684805572463,0.912,0.574,0.2376914908424283,1,Ptprz1
3.4496295427743585e-5,0.6178426320625688,0.603,0.278,0.23964576433653467,1,Slc7a10
4.276778455581953e-5,0.5491046937243678,0.824,0.444,0.2971077993092783,1,Itih3
5.78728188666968e-5,0.5630880010983937,0.75,0.37,0.40204247266694265,1,Tril
7.405313687938867e-5,0.6337415346568405,0.897,0.648,0.5144471419011131,1,Timp3
8.612453052109262e-5,0.5772268519415509,0.779,0.463,0.5983071135300304,1,2310022B05Rik
1.184097904711559e-4,0.644463512469818,0.735,0.463,0.82259281440312,1,Bcan
2.2553091562146509e-4,0.5487801644145098,0.897,0.667,1,1,Serpine2
2.7896205998394365e-4,0.7009772206241558,0.632,0.426,1,1,Cldn10
2.9233335276075033e-4,0.5353211249057841,0.647,0.352,1,1,Slc3a2
3.061471684903863e-4,0.5268263307403286,0.529,0.241,1,1,Fgfr3
3.0974297921147433e-4,0.6203395248433881,0.779,0.519,1,1,Nkain4
3.4332684277032724e-4,0.517007818360031,0.765,0.519,1,1,Gpm6a
3.7607811972295254e-4,0.6149572410189934,0.647,0.407,1,1,Macf1
6.66478972483688e-4,0.5082260660638752,0.471,0.222,1,1,Cadm2
9.407558567770218e-4,0.511305458995847,0.588,0.278,1,1,AW047730
9.885328266267396e-4,0.5418937788292704,0.515,0.296,1,1,Tsc22d3
0.0011063091567123005,0.5405125484309096,0.676,0.444,1,1,Ccdc88a
6.731536264225917e-9,0.8616846050745094,0.593,0.147,4.676398242757745e-5,2,S100a6
7.695270889910217e-9,0.9499593175004044,0.685,0.265,5.3459046872206275e-5,2,Pcsk1n
2.0337258696627168e-8,0.7871412025523518,0.833,0.456,1.4128293616546894e-4,2,Rps14
9.349370202844209e-8,0.6545034339742332,0.556,0.147,6.495007479915872e-4,2,Hsp90aa1
3.272832682523118e-7,1.8613550044149032,0.63,0.279,0.00227363686454881,2,6330403K07Rik
4.3547686905495047e-7,0.5278316304858048,0.315,0.015,0.003025257809324741,2,Col23a1
1.8642424492756948e-6,1.0355936013297393,0.5,0.147,0.012950892295118251,2,Ttc3
2.130295234635474e-6,0.5956097449206649,0.315,0.029,0.014799160995012637,2,Vim
3.7855327267147687e-6,0.9811029685854932,0.333,0.074,0.026298095852487498,2,Atp1b1
4.735860765262915e-6,0.6108765015739751,0.685,0.279,0.03290002473628147,2,Pea15a
7.539116448619614e-6,0.6825178101438297,0.722,0.412,0.052374241968560456,2,Rplp1
1.2484064461619185e-5,0.6637812475622441,0.648,0.309,0.08672679581486847,2,Rps21
1.9367759697694248e-5,0.719598462196118,0.833,0.574,0.13454782661988193,2,Tuba1a
2.4713897177536933e-5,0.6681783708713096,0.5,0.191,0.17168744369234906,2,Scd1
3.216022581428087e-5,0.6518538555602837,0.963,0.779,0.2234170887318092,2,Hsp90ab1
8.551311546336964e-5,0.5574487499270737,0.481,0.162,0.5940596131240289,2,Rbm25
8.914184952344682e-5,0.5980364823152049,0.63,0.368,0.619268428639385,2,Skp1a
1.3006211719236542e-4,0.7521142306006554,0.389,0.132,0.9035415281353626,2,Gfap
1.4252261806251918e-4,0.7722748925999838,0.481,0.206,0.9901046276803207,2,Calm2
1.849863195665471e-4,0.6342310389479721,0.463,0.265,1,2,Rtn1
2.5191391416265355e-4,0.5611997141348333,0.611,0.368,1,2,S100a1
3.841924952144085e-4,0.6507512991131256,0.315,0.088,1,2,Map1b
5.030007429412093e-4,0.5956097449206649,0.185,0.029,1,2,Stmn2
5.042588641875724e-4,0.5986501992407156,0.352,0.132,1,2,Stmn3
6.071178193773535e-4,0.6980308095151543,0.611,0.412,1,2,S100b
7.080856902096322e-4,0.5177902115537787,0.259,0.059,1,2,Pnmal2
7.110204830530136e-4,0.5252204170292667,0.5,0.191,1,2,Fkbp3
7.279726888913074e-4,1.1226522697126393,0.426,0.191,1,2,Meg3
7.281892397391171e-4,0.8453880540521919,0.352,0.147,1,2,Snhg11
8.508553248881143e-4,0.5415222293583672,0.315,0.118,1,2,Uchl1
9.46293392434126e-4,0.602182398844151,0.204,0.044,1,2,Fos
0.001306233981652946,0.5087322942406979,0.296,0.118,1,2,Jun
0.0015795534586609812,0.5275913214920137,0.278,0.088,1,2,Gap43
0.0018407546807193754,0.5670405927238938,0.593,0.412,1,2,Id4
