p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.1410480106785666e-25,1.2933085384475693,1,0.846,2.7142065631372187e-21,4,Sparc
2.437589023660401e-22,0.6799618337312958,0.493,0.035,3.0901316052942908e-18,4,Rps27a
1.68190307717608e-19,0.629719078951674,0.388,0.018,2.1321485309361168e-15,4,Rpl36
4.59771373183009e-18,0.6451021116510588,0.433,0.039,5.828521697841006e-14,4,Rpl23a
7.100642208512023e-18,0.6445595702625748,0.507,0.071,9.001484127730692e-14,4,Rpl11
3.495652061737633e-17,0.8393902591867429,0.552,0.105,4.431438118664797e-13,4,Rps8
5.12497611094726e-17,0.7886896235043784,0.433,0.042,6.496932215847842e-13,4,Rps29
8.045738286261782e-16,0.5674348006973311,0.343,0.023,1.0199582425494061e-11,4,Rpl17
1.0246388857028358e-15,0.5517165669504007,0.358,0.024,1.298934715405485e-11,4,Gapdh
1.8560519152915266e-15,0.5850500296179458,0.403,0.039,2.3529170130150682e-11,4,Rpl9
3.5854115932250406e-15,0.563560204863541,0.358,0.037,4.545226276731384e-11,4,Rps23
4.0255864286574296e-15,0.7594869539220036,0.448,0.056,5.103235915609024e-11,4,Rps27
5.86572765160056e-15,0.702707597891029,0.522,0.122,7.43598294393403e-11,4,Rpl18a
4.04502865549002e-13,0.5075985879011239,0.343,0.045,5.127882826564698e-9,4,Rpl27
5.063754276870242e-12,0.5400818664669973,0.552,0.153,6.419321296788406e-8,4,Hmgb1
4.400117341523095e-11,0.5026623426368546,0.388,0.088,5.578028753848827e-7,4,Morf4l1
2.2156501410751456e-8,0.5488463470790901,0.955,0.746,2.8087796838409623e-4,4,Slc4a4
2.8244114750688057e-7,0.526959504526473,0.597,0.365,0.003580506426944725,4,Fermt2
4.245768542688996e-7,0.5886667026582926,0.746,0.495,0.00538236078156684,4,Tmem47
9.901792872538883e-6,0.6043402325847542,0.746,0.5,0.12552502824517542,4,S100b
1.1232347110465015e-28,1.2903994346944263,0.543,0.064,1.42392464319365e-24,3,Igfbp2
4.0188315059630645e-23,1.098867031922875,0.951,0.594,5.094672700109377e-19,3,Htra1
4.78367749299047e-20,0.8671826213294587,0.988,0.824,6.064267957864019e-16,3,Gpr37l1
6.0136228410774715e-18,0.9785370101491437,0.753,0.387,7.62346967563391e-14,3,Btbd17
9.674205941012263e-15,0.7099581335655472,0.963,0.765,1.2263990871421245e-10,3,Serpine2
4.447194770140514e-14,0.6942982195272207,0.975,0.742,5.63770881010713e-10,3,Pla2g7
4.4717928089044276e-14,0.8496608243336387,0.753,0.382,5.668891743848142e-10,3,Msmo1
5.00968879072236e-13,0.651498126862466,0.963,0.747,6.350782479998736e-9,3,Atp1b2
9.657872700181714e-13,0.7280181319829351,0.889,0.609,1.224328522202036e-8,3,Cldn10
8.085896112684067e-12,0.6679003130195545,0.556,0.224,1.0250490502049592e-7,3,Kcnk1
1.583060806407991e-11,0.6067596953468843,0.988,0.826,2.00684618428341e-7,3,Gja1
1.671029665984412e-11,0.7004248878817813,0.815,0.482,2.118364307568439e-7,3,Slc7a10
2.937987958727682e-10,0.5973517629010192,0.679,0.337,3.7244873352790825e-6,3,Slc38a3
4.0493533499257295e-10,0.5713334185421575,0.519,0.174,5.133365241700847e-6,3,Aldh1a1
5.976592971067701e-10,0.6180199309586204,0.79,0.531,7.576526909422525e-6,3,Acsbg1
7.023902468989103e-10,0.5900146424736235,0.938,0.569,8.904201159937486e-6,3,Gjb6
9.841983941218646e-10,0.6061569633066584,0.926,0.699,1.2476683042282877e-5,3,Bcan
1.1809401498776775e-9,0.5527462574043844,0.802,0.452,1.4970778279999318e-5,3,Cxcl14
1.826574876913856e-9,0.5745769335068505,0.432,0.168,2.3155489714636953e-5,3,Hsd11b1
2.2657730011945297e-9,0.5308063818278235,0.741,0.34,2.8723204336143054e-5,3,Fermt2
2.8572374744700076e-9,0.5070332833596167,0.889,0.572,3.6221199463856284e-5,3,Slc6a1
4.598607742217657e-9,0.6281540910200211,0.802,0.451,5.8296550348093235e-5,3,Gm3764
5.2032433874538805e-9,0.6033426199951328,0.827,0.574,6.596151642275284e-5,3,F3
2.500570003901045e-7,0.5010328020336476,0.63,0.4,0.0031699725939453548,3,Pmm1
9.421310591800043e-7,0.5349997733558589,0.79,0.553,0.011943395437224915,3,Kcnj10
1.0819086421844283e-6,0.6079366354476718,0.901,0.688,0.013715355856971997,3,Id2
1.8783953138649184e-6,0.5219652373069086,0.753,0.528,0.02381241739386557,3,Hacd2
6.842066782773545e-5,0.5555610958381755,0.506,0.352,0.8673688060522023,3,Mbp
1.7422253615874366e-46,1.8287464907994286,0.933,0.25,2.2086190908843932e-42,9,Rtn1
1.0267884433749984e-39,2.936107215388259,0.956,0.46,1.3016597096664855e-35,9,Meg3
1.5580700709777847e-34,1.6936333422633785,0.933,0.365,1.9751654289785378e-30,9,Ttc3
5.5100127950460606e-30,1.8155003100142628,0.644,0.031,6.98504322027989e-26,9,Tubb3
2.626758846506395e-29,1.231017667950745,0.844,0.152,3.329942189716157e-25,9,Stmn3
2.6459039352488664e-29,1.6639770752268512,0.689,0.07,3.354212418714988e-25,9,Stmn2
4.462261995257621e-28,2.097535787030223,0.711,0.068,5.6568095313880856e-24,9,Tmsb10
1.3201106701279234e-27,1.1982480463302685,0.711,0.085,1.6735042965211686e-23,9,Uchl1
3.491806989088793e-26,1.4935488665799639,0.889,0.289,4.4265637200678625e-22,9,Calm2
4.3025180460198217e-26,1.5815675594925784,0.8,0.208,5.454302126939328e-22,9,Atp1b1
4.3429271068226154e-26,1.1802090141244252,0.667,0.075,5.505528693319029e-22,9,Nsg2
2.82047707778319e-25,1.3085490650861624,0.8,0.16,3.57551879150575e-21,9,Map1b
9.246844790913864e-25,1.3186948075717866,0.578,0.03,1.1722225141441505e-20,9,Dlx1
9.351200561218511e-25,1.114850095027584,0.844,0.227,1.1854516951456707e-20,9,Maged1
1.2014008043704301e-24,1.0149817733218895,0.644,0.068,1.5230157997003943e-20,9,Gng3
2.9548370421665196e-24,1.2312831987186943,0.644,0.068,3.745846918354497e-20,9,Gad2
2.4339301329119844e-23,0.9104781150771049,0.556,0.039,3.0854932294925226e-19,9,Gng2
2.817746622086328e-23,0.8347764233818442,0.578,0.045,3.572057392818838e-19,9,Ly6h
2.9490104654647565e-23,2.2795462976212493,0.889,0.579,3.738460567069672e-19,9,Tuba1a
3.8023152150403376e-23,1.009651938854141,0.689,0.107,4.820194998106636e-19,9,Celf4
5.244105107983382e-23,0.8687237553051818,0.6,0.037,6.647952045390534e-19,9,Crmp1
