p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.924189450229079e-7,0.8725390908177413,1,0.843,0.0052478185517913474,4,Crebrf
1.0276782557492563e-6,0.7586481242897568,0.824,0.193,0.013743141314134804,4,Hsf1
4.628163479794628e-6,0.5285846896003801,0.529,0.06,0.06189243021529356,4,Parp4
7.215653138708135e-6,0.5285846896003801,0.471,0.06,0.09649492942394389,4,Dlx6
1.4223348801630151e-5,0.79572349376691065,0.471,0.06,0.1902088435242,4,Cpne9
1.5533346870526963e-5,0.5122828772712796,0.529,0.072,0.2077274476995571,4,Trp53rka
2.4051689773974592e-5,0.7389559364391498,1,0.819,0.3216432473473622,4,Rc3h1
3.924464333304494e-5,0.518902136203041,0.471,0.096,0.5248186152928099,4,Tvp23b
7.265029542544298e-5,0.876944269937743,0.765,0.229,0.971552400724449,4,Sdk2
1.4064243755901182e-4,0.5909687335465201,0.529,0.096,1,4,Pnoc
1.526455718837515e-4,0.5220418437336083,0.588,0.205,1,4,Hmgcl
1.544824183809679e-4,0.6151512481250898,0.647,0.169,1,4,Tmem196
1.625950482212564e-4,1.2198319834607512,0.471,0.217,1,4,Rprm
2.038016029586831e-4,0.5557727010461581,0.529,0.12,1,4,Lmnb1
2.0547216852771967e-4,0.6761418780142381,0.647,0.253,1,4,Cdh8
2.348968451287315e-4,0.7026140893754292,0.647,0.205,1,4,Eefsec
2.3601299343003858e-4,0.6040502548918398,0.588,0.205,1,4,Arhgef10l
2.6452410164987507e-4,0.6866725455064074,0.471,0.06,1,4,Pou3f4
2.7200944475898325e-4,0.516200965144548,0.647,0.169,1,4,Bahcc1
3.35370600023598e-4,0.5596561355333862,0.647,0.241,1,4,Med30
3.400176458671714e-4,0.518902136203041,0.529,0.096,1,4,Casp2
3.562667645928633e-4,0.5945543435179763,0.471,0.157,1,4,Kit
3.6656352653259534e-4,0.6040502548918398,0.588,0.217,1,4,Hpca
4.088966775178238e-4,0.5693475585119651,0.588,0.193,1,4,Ttc21b
4.238546174897655e-4,0.5733310724304628,0.706,0.181,1,4,Klf3
4.398982588669132e-4,0.536255702953309,0.706,0.169,1,4,Dgki
4.557271461333804e-4,0.5506109959303793,0.647,0.133,1,4,Mrps35
4.6630668406637195e-4,0.6607939136808021,0.647,0.217,1,4,Plod2
