p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
9.108407088957414e-20,1.0580659478062355,0.905,0.64,1.4736491829224202e-15,12,Cd81
7.471883920637715e-13,0.7433965954049334,0.825,0.421,1.2088760995199758e-8,12,Atp1b2
8.458069498909324e-11,0.5016771013034583,0.46,0.121,1.3684310642285396e-6,12,Tuba1a
6.438434974623288e-10,0.6459319563587842,0.476,0.185,1.0416743945443018e-5,12,Gapdh
7.142568474367407e-10,0.6913118598627934,0.698,0.405,1.1555961534679027e-5,12,Gpr37l1
9.460515468111523e-10,0.7305819773753521,0.841,0.547,1.530616797585763e-5,12,Pla2g7
1.1069655481770097e-9,0.6896782557508568,0.651,0.343,1.7909595603955842e-5,12,Itm2b
6.998308421086897e-9,0.6424323911718811,0.476,0.192,1.132256319447649e-4,12,Ubb
9.773071151078127e-9,0.7315220480260484,0.746,0.48,1.58118518153293e-4,12,Clu
1.1818653426939174e-7,0.5614580436854992,0.492,0.197,0.001912139937944489,12,Bsg
2.486852262604229e-7,0.5012874820795333,0.571,0.249,0.004023478275667383,12,Atp6v0c
6.060112313785305e-7,0.5038026623154981,0.667,0.398,0.009804655712473246,12,Scd2
1.7837260379460992e-4,0.5355503065960778,0.571,0.409,1,12,Ptn
1.9994210847086574e-4,0.5177756048681018,0.476,0.279,1,12,Nkx6-2
3.422882901842802e-12,0.564145213072464,0.73,0.54,5.537882246891469e-8,1,Pla2g7
1.139007627999874e-11,0.534915645947658,0.533,0.258,1.8428004413409962e-7,1,Nkx6-2
2.0936155600013273e-13,0.5650415020965518,0.81,0.587,3.3872606145261476e-9,5,Gm20713
3.2125280599454323e-12,0.5018195429479004,0.76,0.502,5.197549148185715e-8,3,Agt
6.93613522334589e-9,0.5117181590125286,0.775,0.59,1.1221973177851316e-4,3,Glul
1.2737701313425042e-11,0.8189157395723059,0.927,0.716,2.0608326954990374e-7,14,Wdr17
1.1968497961667604e-7,0.7218890618395704,0.805,0.535,0.0019363832852182018,14,Gm35188
3.1590275555374966e-5,0.5142411753502378,0.512,0.278,0.5110990682104116,14,Ly6h
3.7402150695979857e-4,0.5111051129638103,0.707,0.467,1,14,Gm12239
3.2577398083809892e-15,0.9753938687488947,0.733,0.31,5.2706972359796025e-11,13,Slit2
2.2948106191148e-14,0.8097837910528092,0.483,0.088,3.7127741006658346e-10,13,Slc38a1
1.933659003224569e-13,0.6313428893846589,0.35,0.07,3.1284669013170302e-9,13,Deptor
1.554230834133495e-9,0.6916888529047935,0.567,0.254,2.5145900665445817e-5,13,Nkain2
2.1981578859330657e-9,0.5414227016693988,0.483,0.162,3.556399643651107e-5,13,Sfta3-ps
3.0473102165700104e-9,0.8223798706084586,0.817,0.574,4.9302431993886196e-5,13,Slc7a11
6.024868041359128e-8,0.5111096955116332,0.833,0.574,9.747634004114933e-4,13,Luc7l3
1.0182514887787136e-7,0.6093546789764048,0.85,0.572,0.0016474290836950808,13,Gpc6
1.1380193324330236e-7,0.6571403465581155,0.75,0.524,0.0018412014779433889,13,Sik3
4.1931593584365815e-7,0.6431086599835183,1,0.841,0.006784112526014545,13,Nnat
7.241930989596029e-8,0.5950200955721657,0.737,0.507,0.0011716720148067415,11,Cables1
8.321940614936914e-8,0.6061128763823258,0.895,0.652,0.0013464067720906432,11,Nhsl1
3.257356422311601e-7,0.5841922006116134,0.614,0.322,0.005270076955657939,11,Galnt18
7.47463650048685e-7,0.5330647748808479,0.877,0.681,0.012093214394137675,11,Spon1
1.5242668351951708e-6,0.5349368976434767,0.807,0.651,0.02466111312662267,11,Cadm1
3.7412672087355034e-6,0.5122578826821682,0.895,0.698,0.06052996217013171,11,Sorbs1
1.1275686636068429e-5,0.5104842847618798,0.737,0.519,0.1824293340849511,11,Phka1
3.1050887933704744e-50,1.298139593072389,1,0.832,5.0237231587940904e-46,2,Nnat
7.258058281592828e-13,0.5571618673347619,0.457,0.124,1.1742812493789036e-8,9,Cacna2d3
1.4630057541732374e-10,0.5527684909695182,0.716,0.405,2.3669970096768806e-6,9,Tenm4
3.219221761935841e-10,0.5143199129255023,0.309,0.077,5.208378888635998e-6,9,Col23a1
3.5198895721749497e-9,0.569786444482764,0.802,0.571,5.694829338821851e-5,9,Gpc6
8.266402232806481e-9,0.5110841867498784,0.667,0.307,1.3374212172457606e-4,9,Slit2
2.7400334782896252e-8,0.5291195255536372,0.765,0.519,4.4331001645247847e-4,9,Sik3
1.2217922915626748e-7,0.5972145796345518,0.802,0.572,0.0019767377485192515,9,Slc7a11
4.302417391299397e-7,0.5554364084831096,0.765,0.503,0.0069608810973832945,9,Zfhx3
8.272158420391718e-28,1.4852608604455668,0.686,0.085,1.3383525108351762e-23,16,Ablim2
1.2011318102385762e-26,1.6573969213009145,0.686,0.074,1.9433111557849923e-22,16,Gfap
3.0244784195024536e-26,1.4939398724025912,0.8,0.087,4.893303634913019e-22,16,Slc38a1
9.201893726043543e-14,0.6409454664526699,0.4,0.021,1.4887743859365848e-9,16,Pdzrn3
2.0328671001825193e-13,0.7060880171991623,0.371,0.03,3.288975681385298e-9,16,Sulf2
5.950998180516e-13,0.555415095349801,0.371,0.03,9.628119956256837e-9,16,C4b
8.342515425963427e-13,0.9092839041463912,0.886,0.421,1.349735570766623e-8,16,Pdgfd
3.523342250305089e-12,1.1391402982687076,0.829,0.413,5.700415426768604e-8,16,Ctnna2
7.162528714352558e-11,0.9501610347480516,1,0.846,1.1588255206951005e-6,16,Meg3
7.216951569030186e-11,0.7731285847844346,0.486,0.127,1.1676305943533939e-6,16,Pkp4
1.5052492327341426e-10,0.818398810048828,0.8,0.388,2.435342733640569e-6,16,Prkca
3.4521184376441435e-10,0.780326291584017,0.657,0.178,5.5851824202644594e-6,16,Id3
6.783471269311756e-10,0.5901868948967803,0.6,0.16,1.097497816661949e-5,16,Trim35
1.0253463208755323e-9,0.6935930611222296,0.4,0.096,1.6589078125445237e-5,16,St6galnac3
1.4372851625600345e-9,0.6790460827553314,0.343,0.045,2.3253836645058798e-5,16,Kcnj3
1.46840342457207e-9,0.8110295600117354,0.771,0.374,2.375729900615152e-5,16,Wnk2
3.4507362761925397e-9,0.8103614909834098,0.543,0.215,5.5829462212519104e-5,16,Pacrg
3.5322100399170445e-9,0.8591189646080029,0.8,0.481,5.714762623581786e-5,16,Arhgef4
6.57573415353521e-9,1.002011263580438,0.857,0.702,1.0638880287004617e-4,16,Sorbs1
8.949518047682521e-9,0.6097236222874832,0.314,0.041,1.4479425249345552e-4,16,Padi2
2.4614599125441884e-8,0.6530413336296547,0.514,0.134,3.9823959925052425e-4,16,Cacna2d3
4.9416977635038283e-8,0.6592464831563627,0.486,0.156,7.995172811572844e-4,16,Prkag2
6.594053638885483e-8,0.6297892453415889,0.371,0.098,0.0010668519382352824,16,Miat
7.519548605639812e-8,0.7407698932980649,0.4,0.115,0.0012165877689064653,16,Slc38a2
8.534057748156229e-8,0.6027156550161481,0.343,0.096,0.0013807252030741963,16,Prune2
7.410680288587506e-7,0.6737690471759034,0.343,0.128,0.011989739638905726,16,Slc8a1
1.057432899014246e-6,0.5456044640006079,0.543,0.164,0.017108206873151486,16,Grin3a
1.2700488813842488e-6,0.5296250834161569,0.257,0.063,0.02054812085191576,16,Robo2
1.8029318121075403e-6,0.5726938053080428,0.571,0.244,0.029169633788087894,16,Sorbs2
1.9113164080590967e-6,0.5299284574138869,0.4,0.135,0.030923188165988127,16,Cadps
2.2603517453156775e-6,0.5529626198190485,0.371,0.083,0.03657023088746235,16,A330093E20Rik
5.4281137999979805e-6,0.5530634546987602,0.743,0.434,0.08782145317016733,16,Gm973
7.784605287773632e-6,0.5333794715887019,0.486,0.167,0.12594712895088958,16,Cacnb2
8.2046926830808e-6,0.5636816979999181,0.571,0.259,0.13274372291956427,16,Ldb2
1.0590362083157318e-5,0.6057437713749377,0.657,0.39,0.17134146814340223,16,Prickle2
1.166597468675301e-5,0.5746886890331837,0.543,0.235,0.18874380445697694,16,9530026P05Rik
1.2980683192112898e-5,0.5131172493515952,0.629,0.331,0.21001447336519458,16,Nrxn2
1.410124641029133e-5,0.5961808526987691,0.771,0.524,0.22814406567210344,16,Tenm3
1.5516704864627445e-5,0.5244774621096089,0.343,0.135,0.25104476800480746,16,Ccdc148
2.011336602498666e-5,0.5841992868882381,0.8,0.472,0.32541414891825915,16,Nav2
3.573356532422457e-5,0.6477523502446034,0.714,0.539,0.5781333533806293,16,Dclk1
4.3268597174769324e-5,0.5525637335157632,0.743,0.505,0.7000426336905929,16,Grik2
7.431594210919034e-5,0.5557482528379953,0.543,0.26,1,16,Nkain2
9.994268124347939e-5,0.6348211376894712,0.743,0.542,1,16,Gm14964
2.6931938937306197e-4,0.5147287709915835,0.743,0.541,1,16,Bmpr1b
9.179087571856527e-4,0.5067992785670057,0.4,0.237,1,16,Ccser1
0.0016196013679569158,0.5685748188536556,0.486,0.312,1,16,Naaladl2
1.287966530763177e-32,1.3407348343169092,1,0.839,2.0838010501217443e-28,10,Nnat
1.2261608955147896e-12,0.6452353867171148,0.967,0.736,1.9838057128533783e-8,8,Kirrel3
5.22993021680649e-6,0.506299867435939,0.778,0.409,0.08461504097771219,15,Fam214a
8.725967525385591e-23,0.8219868237271793,0.581,0.206,1.4117742859321348e-18,7,Tafa1
7.3640331640814905e-19,0.7072862495014995,0.624,0.237,1.1914269256167444e-14,7,Aldh1a1
