p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.1073531273822775e-58,1.6631333235596597,1,0.741,4.42891041245796e-54,8,Actb
3.1672453887159187e-37,1.1833768009109202,0.762,0.239,4.514274852536799e-33,8,Spry2
6.52645609820421e-24,0.7191225813967209,0.56,0.097,9.302157876770461e-20,8,Slc39a1
2.4182528101911204e-16,0.6770850668886532,0.631,0.265,3.446735730365404e-12,8,Ttyh2
7.283348467925732e-16,0.7064975793121635,0.738,0.347,1.0380956571334546e-11,8,Lrrc8a
4.576554359976404e-15,0.7033876575864897,0.821,0.454,6.52296292927437e-11,8,Sfxn5
1.4120527000933397e-13,0.6396944105948317,0.643,0.292,2.0125987134430372e-9,8,Insig1
1.379643032708254e-10,0.5935158334408405,0.798,0.572,1.9664052145190745e-6,8,Sdc4
2.1526378661882394e-10,0.5079283666651366,0.774,0.457,3.0681547506780974e-6,8,Srrm2
6.769281556228377e-9,0.5796812534052931,0.714,0.495,9.648257002092306e-5,8,Gm2a
3.003670707579264e-8,0.5535830964710785,0.762,0.575,4.2811318595127254e-4,8,Nfia
1.2348962646100375e-16,0.8162160326992174,0.989,0.798,1.7600976459486865e-12,4,Nnat
4.168746436758856e-16,0.7885129655951169,0.943,0.705,5.9417142963123975e-12,4,Slc7a11
2.5407658894360793e-9,0.504330784895125,0.636,0.328,3.621353622213244e-5,4,Rarres2
7.140419355040243e-8,0.5012546879659695,0.625,0.359,0.0010177239706738858,4,Gm14964
5.612058402701074e-7,0.6054530265089404,0.807,0.563,0.00799886684136984,4,Id3
7.842209718388203e-6,0.5251109181913367,0.636,0.417,0.11177501511618705,4,Id4
2.1934741191955356e-13,0.5144423102018044,0.388,0.086,3.1263586620893968e-9,5,Igfbp2
2.7483960565540566e-12,0.5737591337459165,0.949,0.762,3.917288899406497e-8,5,Htra1
6.469787114783391e-11,0.5098695804119798,0.735,0.415,9.221387574700767e-7,5,Btbd17
5.273113526815017e-16,0.7789370967228033,0.934,0.662,7.515768709769445e-12,10,Mlc1
2.3093763898417823e-13,0.7210952759509,0.787,0.444,3.291554168441492e-9,10,Ncan
6.137994113055815e-13,0.7202002466565267,0.705,0.362,8.748483009338454e-9,10,Gabbr2
1.8673789504381653e-12,0.6405795620422191,0.918,0.532,2.661575218059517e-8,10,Luzp2
3.111350634840742e-10,0.590511640886477,0.885,0.659,4.43460805983851e-6,10,Fads2
7.141906138226323e-10,0.5949914369140388,0.885,0.638,1.0179358818813978e-5,10,Syt11
1.2030929670565274e-9,0.5157692606472299,0.967,0.733,1.7147684059456686e-5,10,2310022B05Rik
1.4285109684985144e-9,0.5824449026770382,0.836,0.529,2.0360566834009324e-5,10,Adcyap1r1
2.3069499209055427e-8,0.5206882854646766,0.738,0.394,3.28809572226667e-4,10,Ttyh3
7.257276342541222e-8,0.5012443027893898,0.967,0.806,0.0010343795971024005,10,Nnat
3.7902236934655647e-7,0.5262565662489466,0.721,0.479,0.005402205830296469,10,Cadm2
4.5971447310929934e-7,0.5483497763530295,0.754,0.525,0.006552310385226843,10,Tubb2b
2.487441804705041e-5,0.5460176496139202,0.656,0.386,0.35453508042460946,10,Hes5
6.253606761845982e-116,4.737748281446266,0.989,0.125,8.913265717659078e-112,6,Gfap
2.2462467741941406e-92,3.192069642524945,0.83,0.005,3.201575527258909e-88,6,Myoc
7.281683143537651e-89,1.9246548750843577,0.909,0.045,1.0378582984484215e-84,6,C4b
1.9595791113036438e-86,2.4527270801154417,0.955,0.126,2.7929881073410836e-82,6,Slc38a1
2.1627938067549203e-82,1.6240536713407372,0.875,0.034,3.082630012767788e-78,6,Sulf2
1.167931821401158e-78,2.84034657467924,0.875,0.168,1.6646532250430705e-74,6,Igfbp5
2.6556798820639916e-74,1.3451530263072988,0.784,0.019,3.7851405359058075e-70,6,Padi2
8.607410024331996e-73,2.052701957285736,0.966,0.633,1.2268141507680394e-68,6,Fxyd1
1.4434269646489548e-70,2.1625742240545813,0.909,0.224,2.0573164527141552e-66,6,S100a6
7.999995964805229e-69,1.4613878156026237,0.716,0.015,1.1402394248636893e-64,6,Emb
1.4231694052719047e-68,1.3316106482847012,0.773,0.038,2.0284433533340456e-64,6,Ablim2
4.063219070917624e-65,1.0545877360078273,0.614,0.001,5.791306141778889e-61,6,Slc36a2
6.088127294773552e-64,1.4580022169144118,0.966,0.457,8.677407833240743e-60,6,Gnai2
2.044325197898806e-60,1.2248606769271977,0.693,0.015,2.913776704565168e-56,6,Vim
2.8036707774763636e-59,0.8342954648758826,0.625,0.007,3.996071959137061e-55,6,Cidea
3.1605663185219176e-59,1.4724877714627436,0.875,0.191,4.5047551737892895e-55,6,Fbxo2
1.8297968187443137e-57,2.329645056823731,1,0.797,2.60800940575627e-53,6,Nnat
2.2424951193753137e-56,1.1983305108773896,0.761,0.073,3.1962282936456345e-52,6,Hspb8
4.2264343016436226e-55,1.2821997868239043,0.705,0.044,6.023936810132656e-51,6,Ccdc3
1.8307701377551526e-51,1.306409712692141,1,0.8,2.609396677342419e-47,6,Itm2c
2.0213135287071614e-49,1.133560871596065,0.784,0.147,2.8809781724663174e-45,6,Il6st
