p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.492232177395508e-11,0.8975888313467463,0.849,0.454,2.835692528045152e-7,2,Pnisr
3.59010113670846e-9,0.7071170764643956,0.699,0.33,2.9151621230072696e-5,2,Gm3764
2.6077669379834992e-8,0.7295481226037233,0.774,0.464,2.1175067536426015e-4,2,Htra1
1.7835254401972245e-6,0.5535666851700437,0.763,0.474,0.014482226574401463,2,Macf1
6.709790929464545e-6,0.5242530193145853,0.71,0.474,0.054483502347252105,2,Srrm2
1.732475240391304e-5,0.5555187228286742,0.527,0.258,0.1406769895197739,2,Gria2
3.951296374946943e-14,1.109170970363216,0.979,0.796,3.208452656456918e-10,1,Fth1
3.8157608598574455e-13,1.0539069515010246,0.938,0.645,3.0983978182042457e-9,1,Nnat
3.0029289979228016e-10,0.8231489039980326,0.866,0.559,2.4383783463133148e-6,1,Gpm6b
1.8074108898112997e-9,0.6148952117666858,0.804,0.441,1.4676176425267754e-5,1,Lamp1
2.2952045017777463e-9,0.6154575320080137,0.34,0.043,1.86370605544353e-5,1,Slc38a1
4.567084441047719e-9,1.1879250817776277,0.381,0.065,3.708472566130748e-5,1,Gfap
5.268127450704916e-9,0.6441179333772566,0.907,0.645,4.2777194899723924e-5,1,Prxl2a
9.186210263004262e-9,0.5641011967655725,0.505,0.151,7.459202733559461e-5,1,Rida
1.9234411361830072e-8,0.560734345667174,0.773,0.387,1.5618342025806018e-4,1,Tmbim6
3.7991647924910053e-8,0.5949114609852618,0.773,0.398,3.0849218115026964e-4,1,Asrgl1
4.21723379466318e-8,0.6074988130030956,0.639,0.269,3.4243938412665024e-4,1,Tuba1a
1.915850243716547e-7,0.5852379030396194,0.464,0.151,0.001555670397897836,1,Scd1
2.6294477062339697e-7,0.7133645615045761,0.701,0.344,0.002135111537461983,1,Fxyd1
2.697778095649703e-7,0.5376289854043812,0.464,0.14,0.0021905958136675587,1,Rpl9
4.0027412342691297e-7,0.526805581128099,0.876,0.656,0.0032502258822265334,1,Ldhb
9.006669610983855e-7,0.7548213977834761,0.526,0.215,0.007313415724118891,1,Id3
9.118297440808793e-7,0.5492994506048905,0.732,0.376,0.00740405752193674,1,Gnas
1.054518988357686e-6,0.700307238704573,0.825,0.613,0.00856269418546441,1,Gstm1
1.1746140053734607e-6,0.5409841823928866,0.505,0.226,0.0095378657236325,1,Rpl14
1.7119177121221794e-6,0.5157468908938637,0.505,0.161,0.013900771822432096,1,Rps21
1.9120645929518865e-6,0.5603124433273081,0.825,0.57,0.015525964494769319,1,Tspan3
2.0255160807271518e-6,0.5774014088076532,0.701,0.419,0.01644719057550447,1,S100b
2.6302007482395003e-6,0.5369195213916138,0.474,0.194,0.021357230075704742,1,Id4
3.3954299981761565e-6,0.5536952341424406,0.485,0.204,0.02757089158519039,1,Rps27
5.193414024051565e-6,0.5129812142188057,0.608,0.29,0.04217052187529871,1,H2bc4
6.52797069195477e-6,0.5035094769742238,0.515,0.237,0.053007122018672734,1,Rps27a
2.7945697669396993e-5,0.5366994138252565,0.474,0.226,0.22691906507550358,1,Kif5b
3.798154746737823e-5,0.5409258645869938,0.639,0.344,0.30841016543511124,1,Rpl41
3.847804791810602e-5,0.5487864923627259,0.814,0.57,0.31244174909502087,1,Prdx6
4.752670735929825e-5,0.5105980381234069,0.639,0.409,0.3859168637575018,1,Tmsb4x
