p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.473883924479899e-6,0.5099130934620888,0.636,0.392,0.0932516497257357,5,Slc38a1
1.2132561347562427e-6,0.5077319640299007,0.902,0.741,0.01513779679335364,8,Paqr6
1.0051685786335177e-5,1.43836424528441,0.667,0.388,0.125414883556104,8,Mbp
4.668562706537868e-5,0.5046065459650766,0.765,0.601,0.5824965688947298,8,Cmtm5
8.74139437936977e-17,1.1251415852734639,1,0.617,1.0906637767139662e-12,9,Cldn10
1.0457300484022718e-15,1.1803228791105687,0.976,0.639,1.3047573813915145e-11,9,Nkain4
1.3328159424752402e-13,1.1897713261044984,0.951,0.543,1.6629544514263573e-9,9,Fabp7
3.5661857180612414e-11,0.8851439926785425,0.927,0.514,4.4495299204250107e-7,9,Tmem59
1.7230968430690052e-10,0.9015737154303658,0.951,0.512,2.149907931097198e-6,9,Ldhb
8.146633948906238e-10,0.6659501997126934,0.829,0.32,1.0164555178050313e-5,9,Cox5a
1.9154782970594027e-9,0.7224542204362451,0.951,0.512,2.3899422712410166e-5,9,Ndufa13
2.5525539921629636e-9,0.6520050780776694,0.78,0.292,3.18482161602173e-5,9,Ndufab1
8.282437526715725e-9,0.8055779578769471,0.829,0.333,1.033399730208321e-4,9,Mgst1
1.167449502157056e-8,0.7737336810965586,0.829,0.337,1.456626743841359e-4,9,Gng5
1.2509008180429637e-8,0.7430070523567246,0.927,0.526,1.560748950672206e-4,9,Slc3a2
1.5146497125697795e-8,0.6141358735952206,0.561,0.134,1.8898284463733138e-4,9,Cd302
1.9101691422504132e-8,0.696739228480056,0.707,0.326,2.3833180387858405e-4,9,Atraid
2.3720511863782015e-8,0.5773450852818528,0.61,0.168,2.959608265244082e-4,9,Fmc1
3.7217965466589226e-8,0.6975772511949286,0.732,0.256,4.643685551266338e-4,9,Lxn
4.230481800914234e-8,0.701479405312005,0.78,0.32,5.27837214300069e-4,9,Nat8f1
5.3078635158334824e-8,0.7267964623362355,0.732,0.306,6.622621308705436e-4,9,Tmem176b
6.336673898646008e-8,0.8238594829866286,0.683,0.278,7.906268023340624e-4,9,Fabp5
6.759462376235797e-8,0.7561764913260614,0.902,0.526,8.433781206829404e-4,9,Ndufa4
1.7653618703520822e-7,0.666858666096954,0.78,0.375,0.002202642005638293,9,Atp5j
1.8988413924239649e-7,0.6777469822396901,0.902,0.493,0.002369184405327381,9,Selenok
2.281194742831122e-7,0.7351904974540387,0.854,0.448,0.0028462466806303908,9,Tubb2b
2.4571691002942166e-7,0.7166602146591732,0.829,0.527,0.003065809886437094,9,Pdia3
2.612866532902847e-7,0.6763814402154605,0.805,0.366,0.0032600735731028825,9,Pdia6
3.1339292789695607e-7,0.6008840838910503,0.707,0.326,0.003910203561370321,9,Sdf2
5.230879028778726e-7,0.6301314710788948,0.756,0.395,0.006526567764207217,9,Atp5o.1
5.322761331207247e-7,0.5683471490307596,0.659,0.313,0.006641209312947283,9,Mtarc2
5.673004912786343e-7,0.6367084780807029,0.805,0.376,0.0070782082296835195,9,Cox7a2
5.852170097695763e-7,0.7947746444220083,0.78,0.442,0.007301752630895004,9,Chchd10
5.942905510658992e-7,0.7600003134465856,0.878,0.629,0.0074149632056492235,9,Ramp1
6.051159965949877e-7,0.7359830267517744,0.951,0.589,0.007550032289515662,9,Cox8a
1.0875445458635565e-6,0.6598415127762167,1,0.811,0.013569293298739595,9,Ubb
1.1353119388938962e-6,0.63840562150484,0.829,0.426,0.014165287061579143,9,Gstm5
1.5408476877447558e-6,0.7030373559239276,0.951,0.66,0.019225156599991317,9,Eif1
