p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.189620266073004e-28,1.1152279917055463,0.93,0.381,4.457494321837023e-24,6,Xist
5.892127003303944e-21,1.2448506716277565,1,0.396,8.234247487117261e-17,10,Xist
1.418211933630713e-50,1.3779678249501963,1,0.354,1.9819511772489217e-46,2,Xist
5.990892489434721e-25,1.3857575205056991,0.98,0.402,8.372272253985023e-21,12,Xist
3.8570784059335626e-4,0.5337874473625595,0.765,0.604,1,12,Mobp
0.0019238390551986567,0.8650430997448072,0.608,0.437,1,12,Pmch
7.612496746148133e-11,0.5472527982320454,0.905,0.645,1.0638464202742016e-6,8,Itm2c
3.662572904500356e-5,0.5409072460475404,0.649,0.411,0.5118445634039248,8,Xist
3.012553190675991e-45,1.3950894141031331,1,0.848,4.2100430839696973e-41,4,Cpe
2.277917739716549e-25,0.8127094017006582,0.983,0.803,3.1833900412538773e-21,4,Clu
9.193313497211744e-20,0.6778093821311308,0.925,0.698,1.2847655612353412e-15,4,Gpm6b
4.3359746800052276e-19,0.7218754149257596,0.833,0.514,6.059524615307306e-15,4,Mlc1
8.424329346533564e-19,0.6893763053535322,0.917,0.758,1.1773000261780656e-14,4,Psap
5.1569654941714975e-17,0.6466165886532405,0.9,0.62,7.206859278104668e-13,4,Fads2
6.279450599677176e-17,0.6413905485440059,0.892,0.673,8.775532213048854e-13,4,Gpm6a
6.816055234102659e-17,0.6308110908459175,0.85,0.63,9.525437189658465e-13,4,Kcnj10
2.8614884799340517e-16,0.6404962236630755,0.8,0.47,3.9989301507078375e-12,4,Lamp1
6.021985046926332e-16,0.571587973200567,0.808,0.516,8.41572410307955e-12,4,Glud1
3.0544125169473056e-14,0.5269813393193103,0.783,0.496,4.2685414924338597e-10,4,Tspan3
8.015666858966689e-14,0.5495425089381012,0.867,0.576,1.1201894435405948e-9,4,Itm2b
6.714408660332807e-13,0.6159991409562253,0.933,0.71,9.383386102815097e-9,4,Aqp4
1.2219515257556916e-12,0.5069376358315139,0.758,0.435,1.707677257243579e-8,4,Prxl2a
4.303439992841492e-12,0.5846875272432859,0.617,0.312,6.014057389995985e-8,4,Scd1
6.242469185698887e-11,0.5255640021726407,0.767,0.518,8.723850687014195e-7,4,Tmem47
2.9514661338776928e-24,0.9620443759783337,0.852,0.537,4.124673922094076e-20,9,Tmsb10
4.2994672751517244e-20,0.8112559196276015,0.545,0.175,6.008505517024534e-16,9,Atp1b1
4.242638590221278e-18,0.6476554661295334,0.489,0.126,5.929087429834236e-14,9,Ly6h
9.354364749984477e-18,0.6873797832014061,0.42,0.105,1.3072724738103306e-13,9,Syp
7.210553290854252e-16,1.397702475942979,0.307,0.103,1.0076748223968818e-11,9,Snhg11
7.933187469336132e-16,0.8903058065971996,0.795,0.525,1.1086629488397244e-11,9,Nap1l5
9.265295105060466e-16,0.5573399618203484,0.341,0.07,1.2948249909322001e-11,9,Sv2a
5.60687013593841e-15,0.5587382427166039,0.352,0.092,7.835601014973928e-11,9,Nsg2
1.8781974996359944e-14,0.6349755739769773,0.591,0.263,2.624781005741302e-10,9,Ywhah
5.864694029295252e-14,0.5994521821367303,0.568,0.256,8.195909905940116e-10,9,Impact
1.088897775719445e-13,0.547814907366494,0.375,0.111,1.5217346415679244e-9,9,Nsg1
1.1087359584673438e-13,0.5944203737609549,0.511,0.205,1.549458501958113e-9,9,Stmn3
5.857112859756321e-13,0.5105710352739916,0.364,0.103,8.185315221509458e-9,9,Faim2
6.040736683186204e-13,0.6503526789935641,0.898,0.699,8.441929514752721e-9,9,Fau
7.802844432095305e-13,0.5017482641317741,0.545,0.219,1.0904475093853188e-8,9,Rtl8a
1.5651965272991261e-12,0.627226039154559,0.898,0.646,2.187362146900529e-8,9,Pcsk1n
1.7602634857364184e-12,0.560909518381702,0.284,0.064,2.459968221316645e-8,9,Syt1
2.517860213967026e-12,0.6323691450245361,0.568,0.285,3.518709649018919e-8,9,Ttc3
2.727110252652508e-12,0.5742135999852996,0.432,0.158,3.81113657808188e-8,9,Rian
3.3927494045740238e-12,0.5023189343444097,0.5,0.188,4.741367292892198e-8,9,Serp2
3.4394271351468844e-12,0.5128127149653208,0.261,0.049,4.806599421367771e-8,9,Gabra1
