p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.025867890914208e-14,0.9102850050051114,0.956,0.613,8.860321997231908e-10,2,Agt
1.7410003028956642e-12,0.9356577477100854,1,0.787,2.1955754819817222e-8,2,Sparc
1.0007805503071051e-11,0.9309113497375883,0.912,0.677,1.2620843519922904e-7,2,Itih3
1.3052741931834674e-10,0.6257125601291951,0.971,0.733,1.6460812850236707e-6,2,Gjb6
4.7824515178983515e-9,0.5572538883893798,0.897,0.574,6.0311496092216114e-5,2,Abhd3
1.867345237272629e-8,0.548541781228097,0.956,0.774,2.3549090787245125e-4,2,Slc7a10
3.5325053212558935e-8,0.5838839653704262,0.574,0.259,4.454842460635807e-4,2,Sfrp5
5.2049112698104485e-8,0.506966983791465,1,0.833,6.563913602357957e-4,2,Eno1
9.861940954989882e-8,0.510678301044611,0.985,0.772,0.0012436893738337741,2,Ednrb
1.9713047974681552e-5,0.5699909519251074,0.926,0.726,0.24860124800870906,2,Pla2g7
6.388737418069154e-6,1.1440037021108733,0.4,0.049,0.08056836757927009,5,Xist
7.402047954141428e-6,0.5866488773490429,0.433,0.161,0.09334722674967755,5,Rn7sk
5.568330527751948e-5,0.7589787718984692,0.633,0.336,0.7022221628547981,5,Hdac1
1.1641596435359451e-4,0.6792981653147175,0.567,0.322,1,5,Lrrc8a
2.6710746431641126e-4,0.5511224437199019,0.667,0.47,1,5,Per3
0.0016104857070467693,0.5196460220300854,0.5,0.308,1,5,Igsf1
0.002420112379107069,0.5891003563431392,0.833,0.586,1,5,Fgfr3
0.0029481253610484834,0.5242787329857637,0.933,0.766,1,5,Gm3764
4.445445093840918e-68,2.666212821244321,0.878,0.069,5.606150807842782e-64,1,Crym
4.637169783697815e-34,1.131768920433332,0.969,0.575,5.847934814221314e-30,1,Cspg5
8.962289520359682e-31,1.1673292643082274,0.99,0.711,1.1302343314125594e-26,1,Tspan7
1.5505763616250793e-28,1.164921786363652,0.99,0.814,1.9554318496453875e-24,1,Ptn
5.0620598641910256e-24,1.0671818343423811,0.949,0.772,6.383763694731302e-20,1,Mfge8
1.6648957935521223e-23,1.1481045738198894,0.898,0.464,2.0996000852485815e-19,1,Id4
2.9882865319519383e-22,0.7116532221124958,0.582,0.111,3.768528145444589e-18,1,Rbp1
1.2717289275474209e-21,1.0585391890239029,0.745,0.306,1.6037773505300525e-17,1,Fjx1
1.3278940092071109e-20,1.0250766813504695,0.827,0.439,1.6746071350110875e-16,1,Pantr1
3.1253024937821997e-20,0.6534946749075932,0.449,0.053,3.941318974908732e-16,1,Lmo1
2.2537242281217805e-18,0.647781276063177,0.531,0.114,2.842171624084377e-14,1,Chst2
4.6310092581212744e-18,0.5980282408660774,0.571,0.136,5.840165775416739e-14,1,Oaf
1.6944748060824932e-17,0.8690834824205148,0.837,0.547,2.1369021779506322e-13,1,Scg3
7.037386596521652e-17,0.7995822689208139,0.939,0.728,8.874848236873456e-13,1,Id2
1.224771975847807e-16,0.7161513755421616,0.694,0.225,1.5445599387416692e-12,1,Rgcc
3.492154311754107e-16,0.902952438564072,0.724,0.356,4.403955802553104e-12,1,Luzp2
1.835673654545174e-14,0.6918865970161634,0.602,0.242,2.314968045746919e-10,1,Slco1c1
8.351083431179144e-14,0.6937977350098326,0.592,0.244,1.053155131506002e-9,1,Gnao1
3.8894132282042994e-13,0.6062893419213733,0.561,0.167,4.904939022088442e-9,1,Ezr
5.922249044154547e-13,0.5859119545500207,0.592,0.233,7.4685482695833e-9,1,Crot
5.0875357998020425e-12,0.5619410205154174,0.49,0.142,6.415891397130356e-8,1,Dkk3
5.9590921067643105e-12,1.0199780303859214,0.786,0.478,7.515011055840472e-8,1,Hes5
1.1899286954459561e-11,0.5737872633635259,0.898,0.658,1.5006190778268954e-7,1,Cxcl14
1.6957412344832388e-10,0.6029682887754724,0.816,0.525,2.1384992708068125e-6,1,AW047730
2.0713494134206184e-10,0.9087452496002951,0.612,0.308,2.612178745264742e-6,1,Id3
2.250830771237037e-10,0.5919269356836252,0.592,0.261,2.8385226856070275e-6,1,Mgll
2.579046112298999e-10,0.5979416434112201,0.816,0.511,3.252435052220268e-6,1,Dclk1
2.5126677245360128e-9,0.5749109586680239,0.867,0.642,3.168725267412366e-5,1,S1pr1
8.032213390823305e-9,0.5539218403055834,0.653,0.342,1.012942430716727e-4,1,Kcnk1
7.926711537046714e-8,0.5370424112798508,0.745,0.567,9.99637591936961e-4,1,Cadm1
1.6675202069992323e-7,0.5285942769198548,0.694,0.469,0.002102909733046732,1,Lxn
3.8437454646935544e-09,0.6468416857198456,0.911,0.651,4.847347405525041e-5,6,Atp5md
1.0864241627877754e-6,0.5989792793207509,0.978,0.818,0.013700895116916635,6,Chchd10
1.6503760816453374e-5,0.5144148068073011,0.911,0.755,0.2081289276562935,6,Ndufa13
5.097319689212172e-5,0.5458271065668499,0.867,0.617,0.6428229860065471,6,Atp5k
6.1321296003949726e-18,1.0256979794850023,1,0.772,7.7332286390581e-14,4,Slc6a11
1.2279674257662067e-12,0.8161966108058138,0.944,0.715,1.5485897206337634e-8,4,Slc6a1
7.938497616894412e-12,0.7709681295937365,0.981,0.75,1.0011239344665543e-7,4,Scd2
1.0147982182699298e-8,0.6445102576904984,0.963,0.78,1.2797620330602083e-4,4,Slc4a4
1.155173934503095e-8,0.8262477575696852,0.889,0.634,1.456789848801853e-4,4,Agt
6.257166587627632e-8,0.6364026526703731,0.722,0.441,7.890912783657208e-4,4,Atp2a2
7.067777257259106e-7,0.5552192631418904,0.759,0.485,0.008913173899129458,4,Fut9
1.0578521850666852e-6,0.5463618342575283,0.833,0.629,0.013340573905875966,4,Qk
9.142395310903074e-6,0.5329124606197457,0.815,0.574,0.11529474726579868,4,Fgfr3
1.223516340323998e-5,0.5762980180612849,0.519,0.309,0.1542976456782594,4,Sorbs1
1.8578233810198966e-4,0.5155938273052176,0.926,0.757,1,4,Gm3764
1.4768255686629771e-6,0.5108745388200139,0.662,0.415,0.018624247246408803,3,Ptch1
7.306500318148844e-10,1.0631578244466913,1,0.807,9.214227551217507e-6,8,Sparc
8.883203499611963e-10,1.1208338690437647,0.964,0.644,1.1202607933360647e-5,8,Agt
3.213196655113397e-9,0.90421613082316,0.929,0.76,4.052162301763505e-5,8,Lamp1
4.302955311806943e-9,1.1905376948640396,0.929,0.7,5.426456943719736e-5,8,Nnat
3.558717210111539e-7,0.707524219818062,1,0.753,0.004487898273671662,8,Gjb6
5.825563943144255e-7,1.022844878354928,0.929,0.744,0.007346618688699219,8,Pla2g7
4.937166647673242e-6,0.5769326374633286,0.964,0.693,0.06226260859380725,8,Phgdh
1.6160290799928487e-5,0.6006641237164841,0.536,0.256,0.20379742727789815,8,Pnrc2
6.731551551252941e-5,0.5216126312895788,0.893,0.665,0.8489159661285084,8,Tmed10
1.9329373203517643e-4,0.5314469913941544,0.929,0.66,1,8,Mid1ip1
2.067919647427553e-4,0.5221247701096139,0.429,0.186,1,8,Prdx3
4.132233144786494e-4,0.5373799471478955,0.821,0.593,1,8,2310022B05Rik
0.0024686328370685908,0.620784680264931,0.607,0.402,1,8,Nkx6-2
5.568414351560257e-30,4.0080710133879665,1,0.374,7.02232733875264e-26,9,Meg3
1.2054379865936053e-29,3.593320273523064,0.909,0.181,1.5201778448931957e-25,9,Snhg11
1.5634720182197864e-26,2.320211821514693,0.955,0.326,1.9716945621769728e-22,9,Ttc3
6.706236881872392e-26,2.3745677618465426,1,0.408,8.457235331729274e-22,9,Rtn1
4.766281134765633e-25,1.881331482404953,0.864,0.069,6.010757139052939e-21,9,Celf4
5.4991024174886984e-24,2.029574258711604,0.955,0.369,6.934918058694998e-20,9,Atp1b1
7.132687096774883e-23,2.0288292866006894,1,0.741,8.995031697742804e-19,9,Calm2
4.481819437477581e-22,1.909518885084818,0.909,0.261,5.652022492602977e-18,9,Stmn3
1.021504819837331e-21,2.0975440232958573,0.818,0.144,1.2882197282968581e-17,9,Map1b
