p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0505110187113127e-21,0.9514178601879505,0.729,0.347,1.7247289905202333e-17,2,Itih3
5.707972279731853e-18,0.6584205454067786,0.889,0.66,9.371348888863756e-14,2,Gmpr
1.0415636831231182e-13,0.6161626708327571,0.785,0.489,1.7100392549515354e-9,2,Nkain4
4.4536999001235133e-13,0.5729715025645601,0.326,0.096,7.312084496022784e-9,2,Fbln5
8.162113459330193e-9,0.5601843977214895,0.521,0.36,1.340055787752831e-4,2,Fcgr2b
1.3237972625766303e-17,0.6994437740196429,0.829,0.583,2.1734103456983115e-13,1,Fosl2
4.7701246801680915e-14,0.6179317955725048,0.829,0.678,7.831590699899972e-10,1,Palld
2.250558948908072e-11,0.5849935629608434,0.762,0.516,3.6949676823172725e-7,1,Zyx
7.527834249039234e-21,0.99080708357195,0.984,0.823,1.2359198270072614e-16,10,Phgdh
9.111912203167552e-19,1.032053742378922,0.902,0.507,1.4959937455160485e-14,10,Nkain4
2.708481411880971e-11,0.6569049577367689,0.951,0.791,4.446784782026178e-7,10,Gsta4
3.4191524684786995e-10,0.7725138347444458,0.77,0.531,5.613564522748329e-6,10,1700007K13Rik
2.0619133837676606e-9,0.7717984031288013,0.754,0.377,3.385249393469745e-5,10,Itih3
2.410617187332949e-9,0.8555366913676918,0.934,0.769,3.9577512981632356e-05,10,Ier2
4.176442160411946e-9,0.5511172547040717,1,0.848,6.856882738964333e-5,10,Cnp
1.9196148537570535e-8,0.684549213747434,0.984,0.833,3.1516236668983303e-4,10,Klf2
2.255250124502012e-8,0.6584779463041438,0.541,0.27,3.7026696544074033e-4,10,Cldn10
4.486815166523997e-8,0.6712094716752635,0.869,0.684,7.366453140399098e-4,10,Nat8f1
2.6946487694631525e-7,0.584509192365176,0.803,0.616,0.004424074349704604,10,Ntsr2
3.3082572826299756e-7,0.57791444689566,0.754,0.545,0.0054314968066218935,10,Prdx4
4.913029279084839e-7,0.531702333911639,0.705,0.457,0.008066211470401489,10,Gm42067
4.928413484020317e-7,0.5151081699528042,0.754,0.553,0.008091469258064556,10,Pik3ip1
8.63082160589851e-7,0.5110279670885607,0.41,0.175,0.014170082912564174,10,Btbd17
8.961129539884513e-7,0.5457100161421938,0.525,0.285,0.014712382478582394,10,Gm10561
1.0276295586210166e-6,0.6769290362105359,0.639,0.42,0.01687162209343985,10,Them4
1.1394977154704719e-6,0.537960294875559,0.574,0.333,0.018708273492594206,10,Pltp
5.705948029392063e-5,0.614619341002153,0.623,0.45,0.936802547465589,10,Rnase1
2.8304171002558036e-62,1.7639026108029077,0.991,0.718,4.6469787951999786e-58,3,Spry2
1.1250351894806837e-58,1.7678385882024752,0.991,0.693,1.8470827740893866e-54,3,Slc39a1
2.701207587337636e-41,1.131664473970872,0.861,0.367,4.43484261689093e-37,3,Amt
5.48550985829879e-35,1.030011406937739,0.957,0.617,9.006110085354953e-31,3,Pdcd4
4.1902482661117015e-32,1.0717764092506639,0.861,0.468,6.8795496033021915e-28,3,Kdm6b
8.821162197803976e-32,1.0118505527955026,0.974,0.797,1.4482584096354569e-27,3,Lrrc8a
2.4034777351751812e-30,1.0434558242313818,0.809,0.343,3.946029745610613e-26,3,Notch2
1.6269277314436417e-29,1.106810588180994,0.878,0.583,2.671089949484171e-25,3,Bhlhe41
