p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.220500342047993e-28,1.1756418096049839,0.91,0.534,5.121155115041035e-24,3,Nnat
5.413854286764912e-24,1.1508437322671712,0.946,0.743,6.569170791560545e-20,3,Sparc
2.134426462088484e-19,0.9100771115986066,0.982,0.825,2.5899130690981665e-15,3,Cpe
3.782419508597683e-14,0.5792891908988114,0.892,0.654,4.5895878317324286e-10,3,Rpl13
4.2719324730790344e-14,0.5590262870063055,0.775,0.477,5.183562862834101e-10,3,Rps9
3.8748662019222203e-13,0.6163800858298645,0.874,0.615,4.701762649412422e-9,3,Rps19
1.3187943487308659e-11,0.5437330907777275,0.802,0.552,1.6002250627500326e-7,3,Rpl18a
1.5732308830331668e-11,0.5622662953991919,0.91,0.669,1.9089583534724447e-7,3,Fads2
2.1970087225474427e-10,0.5996871353173647,0.838,0.682,2.6658503839390668e-6,3,Rps14
2.2569833575119291e-10,0.6065752434885383,0.838,0.647,2.738623606004975e-6,3,Tmsb4x
5.390231983474699e-10,0.5872467126777308,0.838,0.638,6.5405074887482e-6,3,Rpl37
9.376932819837082e-10,0.6187015991554226,0.874,0.724,1.1377970283590315e-5,3,Rps29
2.403878653694041e-9,0.5258337000862596,0.847,0.648,2.9168663583923493e-5,3,Rps27
2.9493104963763175e-9,0.5766304930873523,0.82,0.619,3.578693356303024e-5,3,Mlc1
1.155218817398417e-8,0.5309114889297654,0.694,0.468,1.4017425130312392e-4,3,Rps23
7.469955185864935e-5,0.6027642025603436,0.342,0.189,0.9064043622528513,3,mt-Rnr1
4.71766558922966e-58,1.5261440603529624,0.992,0.73,5.724415425971269e-54,1,Sparc
2.7380271459469736e-51,1.3104891288225373,0.992,0.814,3.3223221388920576e-47,1,Ndrg2
5.809121182101118e-34,0.9708849871121155,0.962,0.655,7.048787642361496e-30,1,Fads2
6.80385254047065e-33,1.0671473805410492,0.985,0.821,8.255794672607086e-29,1,Cpe
5.083454303771187e-22,0.7703374756515986,0.917,0.597,6.168263452195959e-18,1,Kcnj10
6.822864254357212e-22,0.8078847402937789,0.765,0.381,8.278863486237041e-18,1,Ncan
1.2820169666911884e-20,0.699692530862358,0.689,0.271,1.555599387383088e-16,1,Sfxn5
4.5548276428717837e-20,0.7302274119383416,0.902,0.601,5.526827861860623e-16,1,Mlc1
2.7225698923846833e-19,0.6255738978137177,0.871,0.489,3.303566307419575e-15,1,Tmbim6
8.6031082787280515e-19,0.622337339998875,0.962,0.779,1.0439011585408617e-14,1,Mmd2
1.449203192262536e-17,0.6210408065795914,0.977,0.825,1.7584631534913612e-13,1,Ntsr2
2.2537364428851015e-17,0.7039757272973814,0.735,0.369,2.734683799796782e-13,1,Ahcyl1
1.549242059067971e-16,0.6175027138599518,0.674,0.331,1.8798503144730763e-12,1,Agpat3
2.753643568437727e-16,0.5373451243154589,0.856,0.625,3.341271105942338e-12,1,Tspan3
7.51071920673047e-16,0.5658854383869337,0.697,0.346,9.113506685446752e-12,1,S100b
9.500235535255266e-16,0.6092054569344219,0.902,0.669,1.152758579847874e-11,1,Lamp1
3.0811452542923003e-15,0.7257675919573194,0.788,0.2,3.738661651558277e-11,1,Gfap
6.901333262887042e-15,0.553544286441409,0.742,0.379,8.374077781187138e-11,1,Abat
1.1576665242527456e-14,1.2085491267776898,0.538,0.239,1.4047125605282816e-10,1,CT010467.1
5.1907495769547e-14,0.5401945981374782,0.803,0.533,6.298455536676833e-10,1,Acsbg1
6.505950227518447e-14,0.7899573805009132,0.841,0.536,7.894320006070884e-10,1,Nnat
1.941153907182641e-13,0.5053586401041331,0.705,0.4,2.3553961509754167e-9,1,Rtn3
3.306998842999532e-13,0.5700439198686665,0.689,0.397,4.012712396095632e-9,1,Gm2a
1.4987400812038103e-12,0.5295724546558243,0.97,0.784,1.8185712145327033e-8,1,Mt3
2.90080924598484e-12,0.5172144790769609,0.667,0.403,3.5198419390780046e-8,1,Slc25a18
5.172580917004346e-12,0.5889335616631808,0.614,0.325,6.276409684693073e-8,1,Pea15a
2.099539610982568e-11,0.5077408414165638,0.674,0.381,2.547581363966248e-7,1,Cnp
3.9091948647305224e-10,0.5716240664533121,0.78,0.567,4.743417048864016e-6,1,Aqp4
