p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.8262613560111444e-4,0.5385407000157201,0.455,0.089,1,2,Ogt
0.0015407059795444064,0.586196945085758,0.864,0.684,1,2,Prdx6
0.0015907387012182124,0.5362268341774739,0.591,0.253,1,2,Pbxip1
0.0019229359599614738,0.639731409931334,0.955,0.747,1,2,Pnisr
0.00235689940246471,0.5017474663876935,0.955,0.785,1,2,Ednrb
0.0038966656247487676,0.5787590188022554,0.636,0.367,1,2,Pafah1b1
1.3197725235934814e-11,1.5011890116490676,1,0.84,7.089817996744182e-8,4,Sparc
2.317093642007047e-8,1.4679548286323103,1,0.704,1.2447427044861857e-4,4,Cpe
1.7759929947765938e-7,0.8822668086396959,1,0.556,9.540634367939862e-4,4,Gpm6b
2.3535156425340103e-5,0.7053316776892363,0.95,0.531,0.12643086031692702,4,Prxl2a
2.6099394927968192e-5,0.7292957882607278,1,0.827,0.14020594955304513,4,Scd2
5.493859436575848e-5,0.6654054932764772,0.9,0.519,0.29513012893285456,4,Lamp1
6.169705133437083e-5,0.6431771146664519,0.95,0.605,0.33143655976824005,4,Arl6ip1
1.0922139052047496e-4,0.7896529203241449,1,0.827,0.5867373098759915,4,mt-Nd4
1.6333814270211219e-4,0.6889733854321276,0.65,0.198,0.8774525025957467,4,B2m
1.9498045254608864e-4,0.5714061772452504,0.9,0.469,1,4,Cd63
1.9518391978690715e-4,0.9350954768676418,0.95,0.728,1,4,Dbi
2.433411545576981e-4,0.6889733854321276,0.65,0.21,1,4,Npc2
5.915334378025887e-4,0.5773493166112811,0.45,0.16,1,4,Scrg1
0.0013949001196311745,0.6650408847809879,1,0.654,1,4,Nnat
0.001564108080813156,0.6028844087184185,0.7,0.432,1,4,Ramp1
0.002234379530993985,0.5154215674680794,0.75,0.321,1,4,Chchd2
0.003911510868069796,0.506959988719883,0.65,0.296,1,4,Fxyd1
0.00546153802734978,0.5168606648850513,0.8,0.63,1,4,Nrxn1
0.007549441310886442,0.6219932316661232,0.55,0.198,1,4,Pea15a
3.8045794488075953e-14,2.9908075757192787,0.923,0.205,2.04382007989944e-10,5,Meg3
4.0992703617349614e-13,2.54189377882927,0.923,0.398,2.2021280383240213e-9,5,Nap1l5
1.2813414859720224e-12,1.3707213107801468,0.846,0.011,6.883366462641704e-9,5,Chgb
