p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.4050362604981384e-74,0.747329915509253,0.915,0.679,1.2194548536362405e-69,4,Clu
7.040287121413735e-73,0.7713855835701053,0.906,0.713,1.340400265045961e-68,4,Scd2
7.0682725060544005e-68,0.6767357702408014,0.925,0.766,1.3457284024276972e-63,4,Plpp3
5.233855172697279e-66,0.6267902064267651,0.644,0.298,9.96473686329835e-62,4,Tmem47
5.450133322797749e-66,0.6893096396798821,0.946,0.767,1.0376508833274634e-61,4,Sparc
4.511534808235777e-60,0.5881903571625862,0.777,0.449,8.589511121400095e-56,4,Gpm6a
3.8725404508425865e-58,0.6381015750384802,0.873,0.633,7.3729297643592e-54,4,Gja1
4.00114734253222e-54,0.6439919664480063,0.827,0.56,7.617784425447093e-50,4,Cpe
4.975688011449968e-48,0.5171457476844645,0.531,0.239,9.473212404999595e-44,4,Aqp4
2.813043629999149e-44,0.7505852538476153,0.448,0.168,5.3557537671553794e-40,4,Mbp
1.224944165061976e-43,0.6013187494358466,0.594,0.32,2.3321711958614962e-39,4,Id4
2.0110138513312962e-39,0.6737060375145829,0.794,0.553,3.8287692715496547e-35,4,Fth1
5.918366668127032e-38,0.5296918142248639,0.873,0.714,1.1267978299447056e-33,4,Slc6a11
7.414829716268297e-38,0.574838278010259,0.856,0.651,1.4117094296803211e-33,4,Nnat
1.0760630194388817e-237,4.085616495387957,1,0.683,2.048716382709687e-233,10,Meg3
4.558654844603105e-223,3.735814917246161,0.993,0.766,8.679222958639851e-219,10,Snhg11
1.9119908576872654e-175,2.0020246920491505,0.985,0.525,3.6402393939507846e-171,10,Ahi1
1.7813394758264622e-172,2.381573913016964,0.904,0.297,3.3914922280260014e-168,10,Ube3a
7.620566541064495e-152,1.655050842457708,0.785,0.032,1.4508796637532693e-147,10,Gm44829
1.6635608175331836e-148,2.11849447229823,0.919,0.392,3.167253440501428e-144,10,9330162G02Rik
1.0257912703017615e-141,1.419825975776474,0.844,0.059,1.9530039995275236e-137,10,5330434G04Rik
5.4375295753049966e-133,1.6201467598454329,0.904,0.144,1.0352512558423183e-128,10,Rian
8.698969756904573e-118,0.9880655040766957,0.674,0.019,1.6561968520170618e-113,10,Gm44560
7.08168361374088e-112,0.9041520739653989,0.6,0.009,1.3482817432201262e-107,10,A230103L15Rik
1.2484011333701353e-99,0.9191894532306121,0.585,0.014,2.3768309178234005e-95,10,Gm26871
6.46134546997166e-93,0.9346151316957448,0.659,0.041,1.2301755640279043e-88,10,Cdr1os
5.187929397759516e-91,1.1976475485874705,0.822,0.151,9.877298780394343e-87,10,Snhg14
1.4778653373073795e-90,0.8850677136342203,0.585,0.021,2.8137078156995198e-86,10,Gm44562
5.694320544078407e-86,0.973598714946689,0.63,0.041,1.084141688387088e-81,10,C130073E24Rik
2.2688582866564116e-84,1.0262587994669339,0.696,0.067,4.3196792919651424e-80,10,Ank3
2.1878400027185997e-80,1.020201164990489,0.763,0.137,4.1654285811759417e-76,10,Slc24a5
6.695266273854123e-80,0.8126667023811542,0.467,0.012,1.2747117458790864e-75,10,Sgcz
1.0782762662348803e-79,0.9434551731022123,0.622,0.06,2.0529301832845886e-75,10,Pdcd7
1.1692483026302643e-75,0.5959893403777153,0.452,0.01,2.2261318433777603e-71,10,Lingo2
1.5028294312124197e-73,0.9627807994534576,0.637,0.072,2.861236954085326e-69,10,Usp29
5.53901977553824e-72,0.936449269519471,0.637,0.086,1.0545739750647255e-67,10,A330076H08Rik
9.198271564711966e-72,1.143217831972862,0.696,0.118,1.7512589232055112e-67,10,Epha5
1.2306467664250876e-71,0.7426401527014126,0.459,0.018,2.3430283785967242e-67,10,Cntnap5a
2.5804968066205724e-71,0.6511164407259314,0.496,0.018,4.9130078701249075e-67,10,Mirg
3.165587064061264e-70,0.5766846726753896,0.422,0.008,6.02696121126624e-66,10,Gm37899
3.682053504821136e-70,0.7389276014658407,0.541,0.038,7.010261667828961e-66,10,Celf3
5.7588440725593893e-70,1.1310494891586846,0.911,0.464,1.0964263229745821e-65,10,Mycbp2
8.77923213818203e-70,1.020078069456801,0.726,0.137,1.6714780067884767e-65,10,Celf4
5.304691017369869e-67,0.6833317315543085,0.563,0.041,1.0099601227970493e-62,10,Miat
8.578523839754256e-66,0.8239712084826357,0.615,0.074,1.6332651538508128e-61,10,Unc80
6.903240736542008e-63,0.8237548239450103,0.496,0.039,1.314308003830233e-58,10,Opcml
1.3057916263047668e-62,0.9423138280254727,0.696,0.15,2.4860966773216457e-58,10,Hap1
1.4046078010189362e-62,0.7230246067192546,0.519,0.034,2.6742327923599524e-58,10,2900027M19Rik
1.646717362126264e-61,0.5311213809824221,0.43,0.014,3.1351851857521936e-57,10,Tmem108
3.20769077278407e-61,0.6126247526526845,0.437,0.016,6.107122462303592e-57,10,Ryr2
5.476696831224157e-60,0.6020613706163376,0.496,0.028,1.0427083096967673e-55,10,Nav1
8.036727784091679e-60,0.9222637151829179,0.63,0.12,1.5301126028132146e-55,10,Csmd3
1.760895485497779e-59,0.5010167777412626,0.393,0.01,3.352568914839221e-55,10,B830012L14Rik
6.209764550923701e-59,0.625817916047947,0.481,0.031,1.1822770728503634e-54,10,Lrfn5
6.03345270436037e-58,0.8496255236849466,0.57,0.079,1.148709060383171e-53,10,Tro
8.028931263119894e-56,0.680621188330615,0.548,0.052,1.5286282231853965e-51,10,Myt1l
1.0200403002703268e-54,0.9802999846628919,0.911,0.538,1.9420547276846753e-50,10,Zranb2
5.286386544277521e-54,0.5162331986890595,0.304,0.005,1.0064751341649973e-49,10,Cntn5
2.1159173485657487e-53,0.7295180512334054,0.548,0.067,4.028495039934329e-49,10,Ftx
8.571455656980013e-53,0.8945721190691736,0.704,0.153,1.6319194425324248e-48,10,Map1b
6.857076913793628e-52,0.5558193745043126,0.437,0.026,1.3055188736171687e-47,10,Cacna1e
9.958008673298143e-52,0.5006604693614555,0.296,0.005,1.8959052713092334e-47,10,Gm43670
1.4772082974337956e-51,0.6286697074540415,0.481,0.048,2.8124568774842034e-47,10,Matk
2.803162345050378e-49,0.5783678399606113,0.422,0.031,5.336940788741415e-45,10,Celf5
3.883004437040642e-49,0.6040198823337501,0.467,0.042,7.392852147681678e-45,10,Cadps
3.986108343931029e-48,0.5936685054787678,0.452,0.043,7.5891516760102865e-44,10,Lrrc7
8.918730623192841e-48,1.1326637780741118,0.881,0.394,1.698037123349685e-43,10,Kcnq1ot1
1.990210806746088e-47,0.5857527330163761,0.437,0.04,3.789162354963877e-43,10,Pdlim7
1.0202000962644855e-45,0.6499212804466546,0.533,0.075,1.9423589632779541e-41,10,Cers4
1.1854949040469028e-45,0.7926743777739228,0.652,0.164,2.257063747814898e-41,10,Syt1
7.759526240049147e-44,0.8452939670366274,0.881,0.51,1.477336200842957e-39,10,Srsf7
2.841806458383702e-43,0.5285625573083063,0.356,0.021,5.41051531611673e-39,10,B230216N24Rik
4.4999139851278545e-43,0.5314917994838074,0.43,0.038,8.567386236284922e-39,10,Lrrtm3
1.495440609930019e-41,0.591771494523905,0.378,0.035,2.8471693772457633e-37,10,Tenm1
2.946137025695657e-41,0.6863610899133792,0.607,0.148,5.609150283221961e-37,10,Ssbp4
9.280753768354922e-41,0.6228189569304696,0.504,0.08,1.7669627099570935e-36,10,Tmem91
1.7217986430742875e-40,0.6583929187216679,0.533,0.101,3.278132436549136e-36,10,Sorbs2
2.424887100501827e-40,0.5133047440176771,0.407,0.043,4.6167425506454287e-36,10,Baiap3
1.8123477474792483e-39,0.5949353259414103,0.519,0.088,3.450528876425741e-35,10,Cacna1a
2.3673622268271074e-39,0.554918644175992,0.415,0.047,4.50722094365613e-35,10,Chd5
4.164837351509438e-39,0.6869611818363603,0.57,0.151,7.929433833538819e-35,10,Trim35
2.0158940645237136e-38,0.525269519352396,0.37,0.037,3.8380607094466986e-34,10,Nav3
2.503579237812181e-37,0.6259868682641928,0.459,0.08,4.766564510870611e-33,10,Pcsk2
1.9032088510511394e-36,0.6292436207560843,0.57,0.14,3.6235193315162644e-32,10,Gls
3.509618789785866e-35,0.5823774944733777,0.437,0.073,6.68196321387331e-31,10,Grm5
1.1676866919609936e-34,0.6022380943252201,0.452,0.062,2.2231586928245358e-30,10,Slc38a2
1.797373809260047e-34,0.5677101083530804,0.504,0.097,3.422019995450203e-30,10,Dnm3
1.0656359026544441e-33,0.7266653891411224,0.622,0.237,2.0288641950637962e-29,10,Ptprd
1.3646812987680032e-33,0.5873002983487721,0.511,0.101,2.598216724724401e-29,10,Scn2a
4.760485779545706e-33,0.5577127246110394,0.489,0.096,9.06348887567707e-29,10,Tmem191c
1.9872140395223127e-32,0.7187003421722061,0.867,0.48,3.783456809846531e-28,10,Fus
7.225559020241336e-32,0.8954203133069288,0.778,0.471,1.375674181863748e-27,10,6330403K07Rik
2.9139628736679004e-31,0.6595469074875454,0.43,0.08,5.547893915176316e-27,10,Ntng1
1.064927339374788e-30,0.5019666021383844,0.467,0.087,2.0275151614356586e-26,10,Myef2
5.3512428573616865e-30,0.517141684769157,0.519,0.126,1.0188231276130914e-25,10,Cplane1
6.0157694180717835e-30,0.6017345168861596,0.533,0.132,1.1453423395066868e-25,10,Grin2b
