p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.202556313094328e-137,2.1762254768969957,0.798,0.263,1.860766893928298e-133,1,Aldh1a1
2.1474526330879405e-97,1.0644425015556214,0.79,0.381,6.442357899263822e-94,1,Lsamp
4.098776237738665e-72,0.9172468252641641,0.742,0.357,1.2296328713215996e-68,1,Trpm3
2.6881261776300243e-65,0.7821122033553474,0.766,0.399,8.064378532890073e-62,1,Gpc5
1.782790505936233e-57,1.7634361278097013,0.604,0.222,5.348371517808699e-54,1,Tafa1
3.6499952956177936e-48,0.9747106319255622,0.7,0.386,1.094998588685338e-44,1,Gm35188
4.12766054435756e-47,0.9900430368024685,0.704,0.394,1.238298163307268e-43,1,Plcb1
2.4666514726519304e-44,1.268883199687466,0.739,0.346,7.399954417955791e-41,1,Gm44151
2.4709231062193097e-40,0.8507313068011314,0.677,0.44,7.412769318657929e-37,1,Farp1
7.442717727998926e-37,0.8330469311693138,0.668,0.384,2.232815318399678e-33,1,Htra1
6.154867014575543e-36,1.0226338270037352,0.682,0.376,1.846460104372663e-32,1,Hivep3
5.883726551544776e-35,0.6821206047091204,0.67,0.425,1.7651179654634327e-31,1,Cntn1
2.1837410195505657e-33,0.9954658128266276,0.673,0.305,6.551223058651697e-30,1,Neat1
4.966048011199687e-33,0.6392695563309243,0.678,0.407,1.4898144033599062e-29,1,Rgs6
7.418270013934873e-32,0.8111949351109399,0.598,0.313,2.2254810041804617e-28,1,4930570B17Rik
2.3784835166221778e-29,0.6739705859081252,0.633,0.37,7.135450549866533e-26,1,Nhsl1
3.606776505330364e-29,0.777669945899289,0.603,0.376,1.0820329515991092e-25,1,Pitpnc1
3.8776220165384025e-29,0.9371100889594319,0.697,0.301,1.1632866049615207e-25,1,Iffo1
3.890757466989159e-29,1.3476725767166993,0.581,0.305,1.1672272400967478e-25,1,Esrrg
1.154589164092628e-28,0.5175629438396484,0.675,0.433,3.463767492277884e-25,1,Slc4a4
1.6110119440036032e-28,0.7667152893894928,0.594,0.279,4.833035832010809e-25,1,Chl1
6.956701156898591e-28,0.8415554061329228,0.582,0.297,2.0870103470695772e-24,1,Rhoq
7.4450472422449775e-28,0.6340293579754532,0.623,0.368,2.2335141726734934e-24,1,Slc7a10
1.642722239233756e-27,1.1403364668106164,0.648,0.436,4.928166717701268e-24,1,Luzp2
4.912092855702024e-27,1.2087153914678233,0.529,0.256,1.4736278567106073e-23,1,Vav3
6.560268500833606e-27,0.5567096483534303,0.571,0.279,1.9680805502500818e-23,1,Wwc1
2.543844429309516e-26,0.92145917643352,0.574,0.37,7.631533287928548e-23,1,Gm20713
1.1886830257888525e-25,0.8307960284562259,0.594,0.373,3.5660490773665574e-22,1,Lgi1
1.540287806547175e-25,1.0186446346870366,0.64,0.407,4.620863419641525e-22,1,Fgfr2
8.918678559278347e-25,0.6953608610545234,0.685,0.348,2.675603567783504e-21,1,Cdc73
9.757282573586382e-25,0.7713761336099207,0.633,0.382,2.9271847720759148e-21,1,Tjp1
1.276147334372722e-24,0.98816792330385,0.522,0.281,3.828442003118166e-21,1,Btbd17
3.541940296666604e-24,0.6369262617608724,0.646,0.412,1.0625820889999813e-20,1,Nebl
4.995758152984874e-24,0.6406318983982746,0.559,0.268,1.4987274458954622e-20,1,Atl2
1.472282468313441e-23,0.5098215664280515,0.64,0.396,4.4168474049403234e-20,1,Stox2
1.8433149919746045e-23,0.5283185868884717,0.569,0.268,5.529944975923813e-20,1,Rapgef3
6.469030156165482e-22,0.5069473653765729,0.655,0.427,1.9407090468496447e-18,1,Abr
2.015263032340523e-21,1.0436301622583168,0.581,0.294,6.045789097021569e-18,1,Usp53
3.121506227975049e-21,1.1679152265064081,0.582,0.308,9.364518683925147e-18,1,Etv4
6.219238477346106e-21,0.9865600692455406,0.556,0.337,1.8657715432038317e-17,1,Msmo1
1.3692898589951565e-20,0.46261797944283434,0.625,0.439,4.1078695769854695e-17,1,Atp1a2
3.3339736427972033e-20,1.0050225726309852,0.702,0.267,1.000192092839161e-16,1,Mfsd11
5.594455974093822e-20,0.5073809448292679,0.628,0.41,1.6783367922281467e-16,1,Kcnd2
5.605585758741625e-20,0.6002558212298328,0.653,0.267,1.6816757276224874e-16,1,B930095G15Rik
8.168743056417639e-20,0.8105499107714559,0.527,0.246,2.450622916925292e-16,1,Cipc
8.729942800759877e-20,0.6862275460183137,0.579,0.312,2.618982840227963e-16,1,Pcyt2
1.2671397033093868e-19,1.1322823377559486,0.645,0.252,3.80141910992816e-16,1,Egfl6
1.9421470995413726e-19,0.6068999781318254,0.554,0.297,5.826441298624118e-16,1,Irak2
1.9526873721093115e-19,0.5724015775785235,0.571,0.39,5.858062116327934e-16,1,Sox5
2.7574377913690684e-19,0.4360736516757897,0.673,0.291,8.272313374107206e-16,1,Myo1e
2.7903799817886766e-19,1.0710275607598858,0.493,0.273,8.37113994536603e-16,1,Arhgef28
3.0530210033112243e-19,0.735095323769694,0.569,0.334,9.159063009933674e-16,1,Kcnn2
3.4493747070614277e-19,0.2743849435095722,0.539,0.259,1.0348124121184283e-15,1,Gm44257
3.520883597213799e-19,0.5014924843325766,0.606,0.389,1.0562650791641398e-15,1,Dgkb
7.194306879292365e-19,0.37328849986465085,0.577,0.352,2.1582920637877096e-15,1,Mertk
8.22881625566372e-19,0.5636920103760868,0.569,0.305,2.4686448766991158e-15,1,Ccdc141
3.4455560922555055e-18,0.34331673350179526,0.603,0.376,1.0336668276766516e-14,1,Tspan5
4.0938049338585194e-18,0.5827951072159843,0.584,0.332,1.2281414801575559e-14,1,Rab31
1.3960742683603377e-17,0.4513865489460327,0.616,0.221,4.188222805081013e-14,1,Plekhb1
1.7893928228262226e-17,0.35738560835901767,0.678,0.296,5.368178468478668e-14,1,Prrt1
2.865562643146182e-17,0.5942007712611344,0.598,0.347,8.596687929438546e-14,1,Ppargc1a
3.64496873102549e-17,0.41419215517378716,0.567,0.389,1.093490619307647e-13,1,Camk2g
4.071289457794064e-17,0.8689284325051276,0.483,0.217,1.2213868373382193e-13,1,Actr3b
4.451484440342156e-17,0.48851413282922795,0.609,0.304,1.3354453321026467e-13,1,Gm4258
5.896322546192778e-17,0.3674253474653789,0.631,0.415,1.7688967638578335e-13,1,Magi2
1.446122952053629e-16,0.5359490459749033,0.598,0.409,4.338368856160887e-13,1,Serpine2
1.4528246731714245e-16,1.0830122916983227,0.428,0.151,4.358474019514274e-13,1,Nmur2
1.6241682230915048e-16,0.9390359576370568,0.535,0.286,4.872504669274514e-13,1,Nr6a1
3.3248213584503874e-16,0.2984638630408252,0.505,0.277,9.974464075351163e-13,1,Daam2
3.440236662277592e-16,0.5142103169212398,0.604,0.332,1.0320709986832775e-12,1,Gm40578
3.9959859813196666e-16,0.279244505702845,0.658,0.255,1.1987957943959e-12,1,Slc12a4
6.517505432016359e-16,0.5220237812938406,0.51,0.335,1.9552516296049075e-12,1,Acss2
8.752229558046232e-16,0.7321480179084412,0.51,0.256,2.62566886741387e-12,1,Rgs7bp
9.052343246780563e-16,0.9081632014790473,0.52,0.249,2.715702974034169e-12,1,Mras
3.101593070709753e-15,0.601770441125888,0.532,0.279,9.304779212129259e-12,1,Cacng8
7.415982502540131e-15,0.7443534720837122,0.569,0.335,2.2247947507620393e-11,1,Klhl32
8.079970469532595e-15,0.662850033880975,0.465,0.251,2.4239911408597782e-11,1,Dpf3
8.936128569279428e-15,0.4762221618493785,0.586,0.291,2.6808385707838284e-11,1,Trim37
3.2943403934176135e-14,0.6394675902570298,0.545,0.378,9.88302118025284e-11,1,Mcc
4.0207951059103115e-14,0.7644063440567659,0.438,0.136,1.2062385317730936e-10,1,Bcor
1.275613649258704e-13,0.784246001894073,0.513,0.252,3.8268409477761116e-10,1,Prkcb
1.6389779555626231e-13,0.486110584793468,0.638,0.275,4.916933866687869e-10,1,Ttll5
2.5372294181891565e-13,0.6508313540250703,0.517,0.261,7.611688254567469e-10,1,9630028H03Rik
4.197601479456681e-13,0.37773121324944436,0.562,0.257,1.2592804438370042e-9,1,Utp14b
4.614532911502458e-13,0.6786587567011206,0.561,0.191,1.3843598734507372e-9,1,Samm50
9.514809993161378e-13,0.8314786067942083,0.525,0.293,2.8544429979484135e-9,1,Tmc7
1.1370280730582462e-12,0.5819490303360991,0.519,0.369,3.4110842191747384e-9,1,Acsbg1
1.1744154461869556e-12,0.43412655669803435,0.569,0.294,3.523246338560867e-9,1,Rbms3
1.2142418693491019e-12,0.532009103981377,0.552,0.348,3.6427256080473057e-9,1,Cd27
1.2392068484148466e-12,0.2568304785908162,0.513,0.287,3.71762054524454e-9,1,Rab34
1.9100697787811084e-12,0.48535332456157154,0.542,0.366,5.7302093363433254e-9,1,Fam20a
2.297507082050556e-12,0.38810948893111985,0.593,0.359,6.892521246151668e-9,1,6430590A07Rik
2.308899306036792e-12,0.6133239303711138,0.586,0.248,6.926697918110376e-9,1,Trp63
3.17463797079732e-12,0.279824515571502,0.591,0.421,9.52391391239196e-9,1,Adgrb3
4.4542954693693795e-12,0.5351257620447012,0.5,0.242,1.3362886408108139e-8,1,Dlc1
4.909595515230406e-12,0.6592109456527357,0.576,0.281,1.472878654569122e-8,1,Clint1
6.848769237477125e-12,1.0756698769449273,0.534,0.234,2.0546307712431374e-8,1,Ccdc18
