myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.804,1.5084445535738762,0.6080000000000001,2.1762254768969957,0.798,0.263,1,Aldh1a1
0.766,0.737815318821455,0.532,1.0644425015556214,0.79,0.381,1,Lsamp
0.742,0.6357870508094164,0.484,0.9172468252641641,0.742,0.357,1,Trpm3
0.74,0.8795228123232484,0.48,1.268883199687466,0.739,0.346,1,Gm44151
0.735,0.6495552160365117,0.47,0.9371100889594319,0.697,0.301,1,Iffo1
0.733,0.6966285626182719,0.46599999999999997,1.0050225726309852,0.702,0.267,1,Mfsd11
0.73,0.542118868637286,0.45999999999999996,0.7821122033553474,0.766,0.399,1,Gpc5
0.727,0.19355754181478235,0.45399999999999996,0.279244505702845,0.658,0.255,1,Slc12a4
0.719,0.24772082680675345,0.43799999999999994,0.35738560835901767,0.678,0.296,1,Prrt1
0.716,0.3022632221755538,0.43199999999999994,0.4360736516757897,0.673,0.291,1,Myo1e
0.712,0.7848383100133601,0.42399999999999993,1.1322823377559486,0.645,0.252,1,Egfl6
0.711,0.47041040376969845,0.42199999999999993,0.6786587567011206,0.561,0.191,1,Samm50
0.706,0.3128773137446266,0.4119999999999999,0.4513865489460327,0.616,0.221,1,Plekhb1
0.703,0.41606563010015196,0.4059999999999999,0.6002558212298328,0.653,0.267,1,B930095G15Rik
0.703,0.675617926381007,0.4059999999999999,0.9747106319255622,0.7,0.386,1,Gm35188
0.702,0.23495092734719347,0.4039999999999999,0.33896253773606166,0.608,0.266,1,Ntng2
0.701,0.17989524525332246,0.4019999999999999,0.2595339782064727,0.636,0.258,1,Mfsd2a
0.701,0.33694618128993914,0.4019999999999999,0.486110584793468,0.638,0.275,1,Ttll5
0.781,1.0819441093273316,0.562,1.5609154010455666,0.694,0.202,4,Rarres2
0.745,1.1626366252331533,0.49,1.6773300935797517,0.713,0.283,4,Col23a1
0.742,1.3612729399995858,0.484,1.9639017198337423,0.701,0.213,4,Pdzph1
0.733,0.9897332474756777,0.46599999999999997,1.4278832479360881,0.705,0.366,4,Cst3
0.73,0.7505987045866979,0.45999999999999996,1.0828850288049077,0.717,0.311,4,Plekha7
0.722,0.7547309361418384,0.44399999999999995,1.0888465787773156,0.753,0.392,4,Nnat
0.711,1.5134942820037285,0.42199999999999993,2.1835106950605825,0.625,0.183,4,Sfta3-ps
0.711,1.2478960922170166,0.42199999999999993,1.8003335037862107,0.705,0.278,4,Slit2
0.707,0.3732009266788747,0.4139999999999999,0.5384151261747794,0.575,0.203,4,Nfe2l2
0.707,0.7166288282480638,0.4139999999999999,1.0338768566715504,0.558,0.233,4,Cd9
0.702,0.3222503496054281,0.4039999999999999,0.46490898130048697,0.558,0.182,4,Gm41609
0.848,0.4631419330571612,0.696,0.6681725700492969,0.823,0.272,5,Cobll1
0.834,1.6249181588113037,0.6679999999999999,2.344261369567492,0.889,0.395,5,Rpl21
0.834,0.5954899921034098,0.6679999999999999,0.8591104585065994,0.818,0.209,5,Bola3
0.83,0.9897255242190443,0.6599999999999999,1.427872105632045,0.823,0.267,5,Snca
0.823,1.8077947777143248,0.6459999999999999,2.608096560753422,0.851,0.377,5,Rpl26
0.822,1.6588136399923528,0.6439999999999999,2.393162212175938,0.861,0.317,5,Rpl23a
0.816,0.6820270480458994,0.6319999999999999,0.98395703996796,0.815,0.277,5,Gadd45gip1
0.811,0.7284715104297281,0.6220000000000001,1.0509622355258599,0.772,0.184,5,Cend1
0.81,1.4101058051813558,0.6200000000000001,2.03435265226388,0.858,0.386,5,Rpl13a
0.808,1.7943412822859162,0.6160000000000001,2.588687269616234,0.858,0.401,5,Fth1
0.804,0.45030852521296194,0.6080000000000001,0.6496578761947633,0.78,0.223,5,Idh3a
0.801,1.545400479215331,0.6020000000000001,2.2295416075513876,0.83,0.388,5,Nap1l5
0.801,1.1166986010482471,0.6020000000000001,1.6110555338999486,0.787,0.218,5,Pomp
0.8,0.6669844957554186,0.6000000000000001,0.9622552243761695,0.81,0.383,5,Snrpe
0.799,1.1741508268767682,0.5980000000000001,1.6939415751907898,0.835,0.388,5,Bc1
0.797,1.3845898286455798,0.5940000000000001,1.9975408794522809,0.846,0.364,5,Rpl18a
0.794,0.6094619723831265,0.5880000000000001,0.8792677651675438,0.775,0.228,5,Pdxp
0.793,1.2554981799664637,0.5860000000000001,1.8113009980827361,0.825,0.293,5,Rps25
0.793,1.5839770710858063,0.5860000000000001,2.285195865337318,0.818,0.361,5,Rps23
0.791,0.21035465182412838,0.5820000000000001,0.30347761301459375,0.792,0.355,5,Fstl5
0.791,0.985046797797508,0.5820000000000001,1.4211221302260182,0.81,0.329,5,Psmb4
0.787,0.8943343199171543,0.5740000000000001,1.2902516882412851,0.808,0.242,5,Mbp
0.786,1.3527306917181232,0.5720000000000001,1.9515778606000314,0.818,0.38,5,Bex2
0.785,0.8325060828551505,0.5700000000000001,1.2010523972450213,0.724,0.188,5,Tceal3
0.784,0.8201090048681484,0.5680000000000001,1.183167194311662,0.729,0.193,5,Vps29
0.783,0.3372511711628413,0.5660000000000001,0.48655059217062613,0.714,0.198,5,Cope
0.783,0.9381510912954285,0.5660000000000001,1.353465927016485,0.81,0.282,5,Tle5
0.781,1.175248182771322,0.562,1.695524725097953,0.797,0.272,5,Rps2
0.78,0.45995581971300536,0.56,0.663575980127967,0.716,0.209,5,Cacybp
0.777,0.4645180121356165,0.554,0.6701578325116542,0.742,0.28,5,Rpgrip1
0.777,0.4495459115138739,0.554,0.6485576571929768,0.762,0.284,5,Tmem38a
0.776,0.39381841623539204,0.552,0.5681598761135465,0.714,0.263,5,Gm16499
0.774,0.806715648062765,0.548,1.1638446648676766,0.803,0.315,5,Vamp2
0.774,0.3725517075620919,0.548,0.5374785009745466,0.727,0.195,5,Psmb3
0.774,0.19971393190850661,0.548,0.2881262991608393,0.663,0.209,5,Bmp1
0.773,1.1322919897229582,0.546,1.633552038411608,0.815,0.321,5,Rpl34
0.773,1.4402025745390303,0.546,2.0777731121629763,0.79,0.368,5,Rpl17
0.772,0.5325844900697656,0.544,0.7683570026780273,0.739,0.254,5,Uqcrfs1
0.772,1.3269744602219133,0.544,1.914419473148464,0.785,0.386,5,Ubb
0.772,0.2309894743583928,0.544,0.3332473691543998,0.691,0.217,5,Chchd1
0.771,0.7131125864260482,0.542,1.0288039920323628,0.775,0.233,5,Uqcc2
0.77,0.36388875151061206,0.54,0.524980497239637,0.81,0.36,5,Tsen34
0.769,0.508383504007969,0.538,0.7334423601020512,0.785,0.339,5,Phyh
0.769,1.2517903709313691,0.538,1.8059517603752413,0.803,0.406,5,Rps29
0.768,1.3171020075533482,0.536,1.9001765346421138,0.795,0.382,5,Rpl41
0.767,0.7712806917007236,0.534,1.1127228290500417,0.747,0.29,5,Eif3k
0.766,0.4068627262181759,0.532,0.5869788374375264,0.742,0.275,5,2610001J05Rik
0.766,0.5749637061562826,0.532,0.8294972875628095,0.709,0.221,5,Mocs2
0.764,1.217793456039506,0.528,1.7569045798552267,0.787,0.276,5,Gabarapl2
0.764,0.7387888309483891,0.528,1.0658469826733943,0.805,0.298,5,Cox5b
0.764,0.36115854592208074,0.528,0.52104164317646,0.714,0.252,5,Npy
0.763,0.38809974035976536,0.526,0.5599095707873278,0.787,0.313,5,Rgs17
0.763,1.3382883197668418,0.526,1.9307419222072446,0.803,0.382,5,Rpl35a
0.762,0.4364268004322055,0.524,0.6296307806945796,0.759,0.35,5,Kctd8
0.761,0.42698730070698976,0.522,0.6160124612525366,0.696,0.212,5,Gtf2h5
0.761,1.1946043717270816,0.522,1.7234498029149345,0.785,0.297,5,Hspe1
0.76,0.33960900338428035,0.52,0.489952225023744,0.719,0.256,5,Arl2
0.759,0.7351887037594143,0.518,1.0606530970312915,0.686,0.188,5,Eif4a1
0.759,0.8716888664563074,0.518,1.2575812048346369,0.701,0.208,5,Scoc
0.758,0.377458976046109,0.516,0.5445581928807481,0.709,0.278,5,Mrpl53
0.758,0.8382278739189456,0.516,1.2093071968377611,0.815,0.326,5,Rps5
0.757,0.3015334584425976,0.514,0.4350208251572365,0.762,0.305,5,Atp6v1g2
0.757,1.0727227775725343,0.514,1.5476118314525311,0.765,0.299,5,Rps10
0.756,0.4314085663579469,0.512,0.6223909992816277,0.747,0.305,5,Nacc2
0.755,0.8282269697188885,0.51,1.1948789419439338,0.762,0.366,5,Srp9
0.754,0.4129762367131211,0.508,0.5957987687110067,0.673,0.222,5,Ttc33
0.754,0.6358952436695923,0.508,0.9174029145670004,0.668,0.196,5,Tomm6
0.754,0.88620227991678,0.508,1.278519634460433,0.8,0.397,5,mt-Co3
0.753,0.2303137634093675,0.506,0.33227252431916776,0.691,0.271,5,Wnk3
0.753,0.5094941984041929,0.506,0.7350447533994275,0.681,0.242,5,Ptgr2
0.753,0.7752881894079218,0.506,1.1185044261185926,0.704,0.236,5,Rpl5
0.753,0.6294199259274164,0.506,0.9080610057721847,0.744,0.329,5,Snrpd3
0.752,0.7558087556780032,0.504,1.0904015436771117,0.724,0.248,5,Uqcr11
0.751,0.5521418430452363,0.502,0.7965722988286561,0.668,0.198,5,Rrp1
0.749,1.189891131771136,0.498,1.7166500350039726,0.747,0.26,5,Calm3
0.749,1.109686164479474,0.498,1.6009387264376311,0.777,0.297,5,Atp6v1e1
0.748,0.5535514823989166,0.496,0.7986059785336501,0.668,0.249,5,Cript
0.747,0.4498923304534417,0.494,0.6490574340791584,0.673,0.222,5,Actr3
0.747,0.46657372915287443,0.494,0.673123605257923,0.676,0.213,5,2210016L21Rik
0.747,0.8982744772263387,0.494,1.2959361336515645,0.691,0.246,5,Tceal9
0.746,0.17679055582344594,0.492,0.25505485816248874,0.686,0.229,5,Galnt13
0.745,0.8034186030442924,0.49,1.1590880343699415,0.729,0.235,5,Rab3a
0.744,0.9958736537071103,0.488,1.4367419815552211,0.747,0.286,5,Gap43
0.743,0.39156553799274685,0.486,0.5649096598451553,0.696,0.246,5,Rps6ka3
0.742,0.9051965825255882,0.484,1.305922620639302,0.782,0.392,5,Tubb3
0.742,0.3243229373250861,0.484,0.467899093325445,0.767,0.351,5,Mcts1
0.742,0.6813265373494297,0.484,0.9829464166600719,0.775,0.363,5,Sh3gl2
0.742,0.9023135682168709,0.484,1.301763310193306,0.772,0.32,5,Rps3
0.742,1.1414307830144599,0.484,1.646736530172968,0.729,0.29,5,Cox7a2
0.741,0.37831708225780314,0.482,0.545796178456913,0.714,0.28,5,Eif3e
0.741,0.3510597908674097,0.482,0.5064722193399285,0.757,0.416,5,Ttc1
0.741,0.6054766538015434,0.482,0.8735181658135305,0.694,0.255,5,Tceal5
0.741,0.3375654579652049,0.482,0.48700401218181133,0.706,0.308,5,Sppl2a
0.74,0.18485102824574517,0.48,0.2666836617533628,0.663,0.24,5,Polr2k
0.739,0.8920308820410027,0.478,1.2869285298403614,0.719,0.286,5,Nme1
0.739,0.17530436878238143,0.478,0.2529107434885127,0.739,0.321,5,Arpc4
0.738,0.8851369204465213,0.476,1.276982645635923,0.739,0.337,5,Gabarap
0.737,0.6332358182142882,0.474,0.9135661746510183,0.643,0.196,5,Ndufv3
0.737,0.7200366264505895,0.474,1.0387932702386828,0.765,0.379,5,mt-Co1
0.735,0.9405032079703645,0.47,1.3568593140790042,0.699,0.212,5,Tubb5
