p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.039698828491933e-18,0.28006408368842595,0.59,0.439,4.160874711624716e-15,1,Kcnd2
5.258691216150728e-18,0.5058651886042851,0.53,0.378,2.1045282247035213e-14,1,Kirrel3
1.9054906223734502e-34,0.2898346770200442,0.701,0.452,7.625773470738548e-31,2,Apoe
8.65334048627402e-28,0.31355049834277626,0.597,0.379,3.463066862606863e-24,2,Agt
8.877431528788594e-18,0.49070825319471,0.533,0.371,3.552748097821195e-14,2,Nnat
3.3150823661547916e-15,0.4460088495974346,0.582,0.421,1.3266959629351476e-11,2,Sparc
1.9496210478494324e-80,2.410855644660987,0.495,0.163,7.802383433493429e-77,3,Slit2
1.318094940005057e-42,1.0354342562398455,0.615,0.357,5.275015949900238e-39,3,Nnat
4.681887469333964e-40,1.7053967631418332,0.393,0.133,1.8736913652274526e-36,3,Sfta3-ps
2.618974573386426e-32,1.1923242381697918,0.403,0.174,1.0481136242692477e-28,3,Pdzph1
1.2506081030190612e-24,1.1281136431693097,0.535,0.362,5.004933628282283e-21,3,Gpc6
8.033380140738456e-24,1.4303755162608613,0.348,0.194,3.21495873232353e-20,3,Col23a1
1.012882134578444e-23,1.55605426654509,0.423,0.264,4.053554302582933e-20,3,Slc38a1
1.0730936524800377e-23,0.7594467627404747,0.604,0.428,4.2945207972251105e-20,3,Cst3
2.4618289183620306e-20,0.7423081587982656,0.578,0.405,9.852239331284846e-17,3,Itih3
5.309418102251681e-19,1.1631888096072014,0.438,0.265,2.1248291245211228e-15,3,Deptor
2.5758401552259487e-18,0.9025183708857345,0.521,0.357,1.0308512301214247e-14,3,Slc7a11
9.981750040288148e-18,0.9096132631646459,0.45,0.294,3.994696366123317e-14,3,Ttll3
2.4640429305866062e-17,1.1673627091467944,0.556,0.398,9.861099808207598e-14,3,Pdzrn3
1.3921810581990514e-9,0.2867018431722741,0.329,0.178,5.571508594912604e-6,3,Prtg
2.6439717713627382e-8,0.7077182121989956,0.365,0.202,1.0581175028993678e-4,3,Tmem218
4.303755057741615e-89,1.289059622925966,0.727,0.385,1.7223627741081942e-85,4,Lsamp
2.0953443540242987e-72,1.3290810989404798,0.722,0.423,8.385568104805243e-69,4,Gpc5
5.143920492690607e-67,2.114274363883771,0.587,0.266,2.0585969811747807e-63,4,Aldh1a1
1.5346490074639839e-44,0.9936749051436121,0.637,0.385,6.141665327870864e-41,4,Plcb1
2.4449545766941675e-37,0.6651820948179623,0.653,0.412,9.784708215930058e-34,4,Trpm3
3.1187432199838235e-32,1.682495198027813,0.386,0.178,1.2481210366375261e-28,4,Tafa1
4.6444195633042703e-29,1.4669740422956914,0.305,0.097,1.858696709234369e-25,4,Sntg1
2.1285602586333437e-27,1.6715803826922506,0.443,0.247,8.518498155050641e-24,4,Kcnq3
9.024274520662751e-26,1.648547403842985,0.374,0.192,3.611514663169233e-22,4,Gm26512
4.283777145752532e-22,0.6752963393213917,0.611,0.454,1.7143676137301632e-18,4,Atp1a2
6.805741811860504e-21,0.750191500248171,0.512,0.338,2.723657873106574e-17,4,Gria2
2.2642364060544323e-20,1.0465498961400344,0.414,0.227,9.061474097029838e-17,4,Esrrg
2.6559140881433064e-20,1.4771156340168594,0.354,0.192,1.0628968180749512e-16,4,Arhgef28
2.333247271751723e-14,0.9611558783886821,0.536,0.383,9.337655581550395e-11,4,Gm12239
5.115948294639307e-13,1.36548825269852,0.355,0.192,2.0474025075146506e-9,4,Pygm
1.1951296885052469e-11,0.28128046711675103,0.589,0.422,4.782909013397998e-8,4,Gm3764
5.169118489607124e-58,1.7253115481489616,0.715,0.464,2.068681219540771e-54,5,Apoe
3.5152974141687747e-56,2.093985171360748,0.56,0.301,1.4068220251503436e-52,5,Gfap
1.136735213373676e-44,1.5662271043800913,0.633,0.458,4.549214323921451e-41,5,Scd2
1.326033793271751e-44,1.8277804076588757,0.636,0.432,5.306787240673547e-41,5,Clu
8.381261814909592e-32,1.3595397133094158,0.573,0.419,3.3541809783268187e-28,5,Mt1
6.314878031993277e-31,1.569281504703094,0.535,0.375,2.5272141884037094e-27,5,Mt2
2.456348383214949e-30,1.285586694587498,0.529,0.307,9.830306229626225e-27,5,Dbi
4.188613269945817e-30,1.7213530046428596,0.359,0.144,1.676283030632316e-26,5,Igfbp5
2.4769316287597836e-28,1.2746564060144931,0.599,0.42,9.912680378296655e-25,5,Fth1
2.26813976190701e-27,1.2769883102239858,0.602,0.435,9.077095327151854e-24,5,Cst3
2.4155883181092744e-27,0.965476969838705,0.599,0.425,9.667184449073316e-24,5,Cd81
5.926313884839316e-26,1.0131490013862754,0.584,0.401,2.3717108167126943e-22,5,Rpl41
3.6670525864028453e-23,0.9369899821404233,0.591,0.421,1.4675544450784186e-19,5,Itm2b
3.57029093372343e-22,1.3607464844717,0.452,0.283,1.4288304316761166e-18,5,Cd9
2.4358163224052096e-20,1.2778486447424378,0.506,0.354,9.748136922265648e-17,5,C4b
3.5947876726957366e-19,1.0444744384419362,0.628,0.447,1.4386340266128337e-15,5,Rpl37a
1.197720744167715e-16,1.0110795991014352,0.432,0.267,4.793278418159196e-13,5,Slc38a1
3.031051435065903e-16,1.0794892190179528,0.483,0.323,1.2130267843133744e-12,5,Fxyd1
1.046709351560946e-15,0.8892380263303283,0.409,0.253,4.188930824946906e-12,5,Tmbim6
3.336717673466811e-15,0.7052206097036116,0.52,0.368,1.3353544129214177e-11,5,Rps14
1.5815265140455331e-13,0.8513756990952325,0.385,0.222,6.329269109210224e-10,5,Rps10
3.985479583010431e-13,1.0983009418688914,0.475,0.276,1.5949889291207745e-9,5,Fbxo2
9.021011124382609e-13,0.9515149043948201,0.361,0.205,3.6102086519779204e-9,5,Hspe1
1.139694609194031e-12,0.6967212402670151,0.458,0.276,4.561057825994512e-9,5,S100b
2.247750059490048e-12,0.9541457299713015,0.383,0.179,8.995495738079173e-9,5,Kcnj3
6.991883180928059e-10,0.9026087801247901,0.44,0.237,2.798151649007409e-6,5,Rpl5
1.0549662541831888e-9,0.7492191443826935,0.392,0.199,4.2219749492411215e-6,5,Efcab14
5.993980067282247e-9,0.7978366646212387,0.419,0.266,2.3987908229263555e-5,5,Man1c1
1.681431267135736e-8,0.2810463801199212,0.431,0.277,6.729087931077215e-5,5,Cfl1
9.876658601268904e-8,0.6801031019381978,0.532,0.319,3.9526387722278153e-4,5,Dhrs1
2.502242079848995e-7,0.6298696143685301,0.349,0.198,0.0010013972803555678,5,Stub1
5.229913174089516e-7,0.36643039525715027,0.336,0.175,0.002093011252270624,5,Scarb2
5.430092203340369e-7,0.8991486059128402,0.341,0.184,0.0021731228997768155,5,Pltp
6.593583185041452e-7,0.4944148850429929,0.241,0.09,0.002638751990653589,5,Spock1
4.407608141161176e-6,0.9860991164112405,0.419,0.258,0.017639247780927025,5,Mgst3
4.419984498776473e-6,0.8788498058716645,0.437,0.283,0.017688777964103446,5,Tmem184c
5.75760578282471e-6,0.7984010099858223,0.365,0.193,0.023041938342864488,5,Cct7
1.725346431292146e-5,0.5885380660002812,0.424,0.268,0.06904836418031168,5,Ss18
2.0179737694606933e-5,0.688580156856307,0.377,0.218,0.08075931025381694,5,Gjc3
1.0143159957604728e-4,0.5774264907415279,0.421,0.263,0.40592926150334124,5,Fbxo34
1.5071263916236638e-5,0.40964073874152795,0.611,0.432,0.06031519819277902,6,Rgs6
6.398595025177133e-5,1.078407006478054,0.432,0.198,0.25607177290758887,6,1600010M07Rik
2.235828905144017e-4,0.843835613812193,0.599,0.404,0.8947787278386355,6,Nmi
5.917838819189808e-4,0.7124642426849346,0.364,0.16,1,6,Gm10658
7.466008875411861e-4,1.1361803797739587,0.407,0.193,1,6,Stx1b
0.0012141713413230729,0.30617608427317566,0.414,0.193,1,6,Cyhr1
0.001372431948506575,0.4242707458476678,0.549,0.392,1,6,Nap1l5
0.0015327920321517945,0.39326023577850777,0.457,0.257,1,6,Sept4
0.0016437408765659488,0.8662433071800371,0.438,0.245,1,6,Sugct
0.002539631843554999,0.35532397898527424,0.333,0.17,1,6,Mrtfa
0.0032684408414260244,0.9525419733330036,0.315,0.153,1,6,Wtap
0.004586600266163699,0.40101763847694727,0.389,0.235,1,6,Abtb2
0.005801024130942544,0.2659629746957668,0.519,0.282,1,6,Ndufb2
0.009623089546082908,0.4864429979754995,0.414,0.251,1,6,Fxyd6
