p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.8355601396076595e-72,1.911668544400214,0.6,0.246,6.424460488626808e-69,1,Aldh1a1
3.178507489583071e-69,0.9468449978971738,0.684,0.395,1.1124776213540748e-65,1,Lsamp
1.3741664542378768e-49,0.801762472402484,0.657,0.417,4.809582589832569e-46,1,Trpm3
1.1094349826325886e-47,0.6332012102254825,0.681,0.43,3.8830224392140603e-44,1,Gpc5
7.122143816060572e-38,1.040437079578871,0.652,0.42,2.4927503356212e-34,1,Plcb1
4.958495802406259e-31,0.6262981986700273,0.673,0.465,1.7354735308421905e-27,1,Rora
5.011146065851876e-25,1.3311190009124296,0.414,0.231,1.7539011230481567e-21,1,Tafa1
1.4140513644613045e-24,1.6243359181593846,0.407,0.223,4.949179775614566e-21,1,Esrrg
1.235693592529367e-21,1.377171108942191,0.445,0.276,4.324927573852785e-18,1,Kcnq3
4.346655011103773e-14,0.6470566430496207,0.56,0.41,1.5213292538863207e-10,1,Gm20713
5.249061226838739e-19,0.9195559028477309,0.476,0.294,1.837171429393559e-15,2,Tnfaip8
1.9815445024982513e-15,0.8104702114732936,0.393,0.229,6.93540575874388e-12,2,Sgcd
6.845620258663686e-70,1.8665176801436942,0.575,0.256,2.3959670905322905e-66,3,Slit2
8.715676235840957e-51,1.8625818852617213,0.514,0.164,3.050486682544335e-47,3,Pdzph1
1.1575829080525287e-40,1.3048179671001574,0.644,0.387,4.05154017818385e-37,3,Nnat
7.715734871401995e-37,1.5591480532958264,0.442,0.207,2.700507204990698e-33,3,Sfta3-ps
3.8958827336438235e-33,1.209841601160151,0.666,0.438,1.3635589567753383e-29,3,Slc1a2
8.135686347279281e-33,1.859810946558611,0.562,0.394,2.8474902215477484e-29,3,Ptn
2.0727872858322483e-32,2.050069308763974,0.575,0.421,7.254755500412869e-29,3,Tspan7
2.8465357611041905e-31,1.1134413263855398,0.681,0.411,9.962875163864667e-28,3,Cst3
2.865391525753479e-31,0.7651116268291838,0.675,0.455,1.0028870340137177e-27,3,Slc1a3
2.0362472298939195e-29,1.8192826387005758,0.429,0.146,7.126865304628718e-26,3,Efna5
