p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.636903567726983e-36,0.8619766036086427,0.325,0.06,4.5138515272350495e-32,0_0,Gh
3.397120378542401e-34,0.4653182424001442,0.275,0.035,5.8151906639888815e-30,0_0,Prl
2.2586175075414043e-27,0.29370246942119704,0.202,0.02,3.866301449409376e-23,0_0,Cga
1.4269234973289693e-23,-0.4879562451555639,0.287,0.54,2.44260764272773e-19,0_0,Ptgds
4.875683690550996e-21,-0.3740403783571218,0.031,0.243,8.346195341485195e-17,0_0,Zic1
3.631323103551495e-17,-0.2533216805630123,0.855,0.919,6.216098888659449e-13,0_0,Gad2
4.877385906168379e-17,-0.3564006752671278,0.819,0.865,8.349109194179032e-13,0_0,Plp1
7.821174206517429e-17,-0.3071235537283856,0.043,0.229,1.3388286006716534e-12,0_0,Oxt
1.406912130972299e-16,-0.334446804104866,0.116,0.326,2.4083521857983816e-12,0_0,Mal
3.657704523724272e-15,-0.2691322232533734,0.113,0.314,6.261258603711209e-11,0_0,Trf
1.1265978523981643e-14,-0.26755241966038895,0.094,0.283,1.9285102037351778e-10,0_0,Onecut2
6.494540059228564e-14,0.3941799454049565,0.733,0.572,1.1117353673387455e-9,0_0,Pomc
1.2454796387189977e-11,-0.33771943369432755,0.041,0.177,2.1320120455591802e-7,0_0,Avp
1.2059657325433414e-23,0.6310021538545739,0.877,0.359,2.0643721409676918e-19,3_0,Adcyap1
1.4525170871894248e-23,0.6423676055531041,0.753,0.246,2.4864187498508573e-19,3_0,Fezf1
6.479842840323619e-22,0.4021350278276812,1,0.923,1.1092194974065972e-17,3_0,Thy1
1.3649821911823332e-20,0.4351005111630313,1,0.889,2.3365765148659177e-16,3_0,Camkv
7.92627888323958e-20,0.3595439282342374,1,0.954,1.3568204192329512e-15,3_0,Ncdn
1.9290832346658798e-19,0.5184042739411157,0.836,0.347,3.302204681101053e-15,3_0,Myh7
2.600900082547637e-19,0.5721302465534454,0.863,0.503,4.452220761305045e-15,3_0,Nptx1
3.344102495622888e-19,0.579515576863237,0.959,0.841,5.7244346520072595e-15,3_0,Plp1
3.6342782699179375e-19,0.5050685341639456,0.767,0.308,6.2211575424455256e-15,3_0,Rasal1
6.145835527806503e-19,0.307169472748877,0.397,0.078,1.0520441256499173e-14,3_0,Hmcn2
1.4730653045227136e-18,0.5463060409291155,0.863,0.432,2.521593188281981e-14,3_0,Lbhd2
5.7593635337824325e-18,0.5259267167504533,0.973,0.814,9.858878497128768e-14,3_0,Nrgn
7.287459682553255e-18,0.5455020474163448,0.822,0.363,1.2474673484594663e-13,3_0,Cbln1
8.75376041796327e-18,0.38324234641204247,0.589,0.17,1.4984687083469527e-13,3_0,Nr5a1
