p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,8.224214557087818,0.956,0.426,0,1,Malat1
0,2.22981150718656,0.685,0.419,0,1,Son
0,1.655130050028938,0.629,0.389,0,1,Pnisr
0,1.257259656347259,0.709,0.44,0,1,Atp1a2
3.472709558234351e-307,0.708060655047591,0.623,0.443,1.4793742718078335e-304,1,Slc1a3
3.3507636169599874e-274,2.6631038888892293,0.577,0.394,1.4274253008249545e-271,1,Gria2
1.6683393452901263e-261,0.672417325752468,0.622,0.455,7.107125610935938e-259,1,Plpp3
1.0846562860598458e-258,1.2236780906206837,0.607,0.424,4.620635778614943e-256,1,Macf1
2.922676310407562e-247,1.2813577446843492,0.615,0.438,1.2450601082336213e-244,1,Zbtb20
5.143328662710012e-214,0.8616270183712753,0.598,0.448,2.191058010314465e-211,1,Nrxn1
4.029698072516563e-203,0.968981155149344,0.581,0.418,1.716651378892056e-200,1,Snrnp70
1.7516697555939803e-186,0.6254825990522437,0.578,0.434,7.462113158830356e-184,1,Slc6a1
3.90504626810795e-166,0.7395571740735781,0.563,0.427,1.6635497102139867e-163,1,Acsl3
2.9972192919627386e-157,1.0924372853948854,0.567,0.434,1.2768154183761266e-154,1,Ntm
6.853906997879655e-149,1.0575192037356813,0.553,0.413,2.919764381096733e-146,1,Ank2
4.7741949164248936e-148,0.7369785259499405,0.571,0.44,2.0338070343970047e-145,1,Ncam1
1.2938456001370554e-143,0.7466255842421965,0.556,0.431,5.511782256583856e-141,1,Ptprz1
5.151430321883775e-127,0.835321196417782,0.542,0.404,2.194509317122488e-124,1,Ttc14
1.3305931406362257e-122,0.40153252245737925,0.547,0.433,5.6683267791103217e-120,1,Slc4a4
8.918746891575664e-112,0.5652873366839611,0.543,0.414,3.7993861758112327e-109,1,Ddx5
2.775744354092166e-109,0.7274601601874965,0.545,0.422,1.1824670948432628e-106,1,Ogt
5.691973414894167e-102,0.6807375423219085,0.547,0.438,2.4247806747449152e-99,1,Rbm39
5.141960649780555e-100,0.4230591197121305,0.278,0.386,2.1904752368065163e-97,1,Rps26
5.775999507179024e-97,0.8685381506280974,0.529,0.418,2.4605757900582643e-94,1,Mat2a
1.6430115886389705e-93,0.8442674528376896,0.563,0.463,6.999229367602014e-91,1,Rsrp1
1.1584645096418614e-88,3.835209554227193,0.307,0.376,4.935058811074329e-86,1,B2m
2.4118332132321146e-88,0.646018385192352,0.525,0.413,1.0274409488368809e-85,1,Hnrnpa2b1
1.6024457284590054e-76,0.2739724995338655,0.27,0.298,6.826418803235363e-74,1,Tusc3
5.744772714324968e-76,1.3680463335867494,0.494,0.401,2.4472731763024365e-73,1,Srrm2
1.121439586903702e-71,0.5251080671001614,0.492,0.393,4.777332640209771e-69,1,Luc7l3
2.9549146062545697e-71,0.5361402110370524,0.543,0.454,1.2587936222644467e-68,1,Lsamp
9.737832939669173e-68,3.5425942238665806,0.333,0.355,4.1483168322990676e-65,1,Ppp1cb
4.85788805042299e-59,0.296705193768219,0.523,0.448,2.0694603094801938e-56,1,Gja1
1.7827619948165335e-57,0.6978932591477324,0.534,0.378,7.594566097918433e-55,1,Tnik
5.45852935896345e-50,0.5715446898675781,0.502,0.427,2.32533350691843e-47,1,Syt11
8.646757675643439e-49,0.34830419336830465,0.498,0.422,3.683518769824105e-46,1,Slc7a10
3.025753157795218e-48,0.6695493536104862,0.318,0.394,1.2889708452207628e-45,1,Psmc5
1.2876346265596932e-36,0.29016857942588126,0.347,0.349,5.4853235091442925e-34,1,Ergic3
2.1402157592789613e-35,0.6494215112414046,0.514,0.38,9.117319134528374e-33,1,Rbm25
3.322100531090231e-35,1.1881704048106183,0.34,0.338,1.4152148262444384e-32,1,Tgoln1
4.153649420626401e-34,0.442814401867077,0.491,0.423,1.7694546531868468e-31,1,Srsf5
6.182250471601064e-32,7.988094644318691,0.508,0.382,2.6336387009020536e-29,1,Dclk1
1.884918703327236e-30,7.469598045535145,0.309,0.301,8.029753676174026e-28,1,H13
1.9379010632401426e-28,0.9441861380391713,0.481,0.364,8.255458529403008e-26,1,Ktn1
