p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.5658495592466566,0.852,0.629,0,Ventromedial hypothalamus,mt-Atp6
0,2.354893406365469,0.875,0.326,0,Ventromedial hypothalamus,Gpc5
0,2.344370623059546,0.832,0.398,0,Ventromedial hypothalamus,mt-Co3
0,2.3021259637133578,0.946,0.664,0,Ventromedial hypothalamus,Lsamp
0,2.0526270044271313,0.833,0.217,0,Ventromedial hypothalamus,Kcnd2
0,1.8801589987569522,0.858,0.249,0,Ventromedial hypothalamus,Pcdh9
0,1.8574293650034703,0.847,0.285,0,Ventromedial hypothalamus,Mdga2
0,1.850459672191536,0.856,0.264,0,Ventromedial hypothalamus,Adgrb3
0,1.8496237580877908,0.979,0.653,0,Ventromedial hypothalamus,Nrxn1
0,1.7934783543231634,0.917,0.518,0,Ventromedial hypothalamus,Trpm3
0,1.7773333366075108,0.866,0.746,0,Ventromedial hypothalamus,mt-Co1
0,1.709712210096792,0.78,0.11,0,Ventromedial hypothalamus,Lrrc4c
0,1.692833581878643,0.859,0.361,0,Ventromedial hypothalamus,Npas3
0,1.6620567941166153,0.824,0.425,0,Ventromedial hypothalamus,mt-Co2
0,1.5914083150593934,0.758,0.106,0,Ventromedial hypothalamus,Erbb4
0,1.5630695392317246,0.856,0.415,0,Ventromedial hypothalamus,Cadm2
0,1.4309312436492339,0.744,0.155,0,Ventromedial hypothalamus,Nlgn1
0,1.3454272221743429,0.95,0.552,0,Ventromedial hypothalamus,Ntm
0,1.344591753456958,0.775,0.222,0,Ventromedial hypothalamus,Rora
0,1.3180716090864837,0.708,0.183,0,Ventromedial hypothalamus,Mgat4c
0,1.3066001934941842,0.743,0.162,0,Ventromedial hypothalamus,Magi2
0,1.2991992570780848,0.697,0.154,0,Ventromedial hypothalamus,Grid2
0,1.296184175086655,0.833,0.301,0,Ventromedial hypothalamus,Adgrl3
0,1.2487507749890931,0.652,0.041,0,Ventromedial hypothalamus,Rps27rt
0,1.2472000521792022,0.781,0.268,0,Ventromedial hypothalamus,Ctnnd2
0,1.234718481588746,0.78,0.243,0,Ventromedial hypothalamus,Lrp1b
0,1.1979870850565633,0.836,0.459,0,Ventromedial hypothalamus,Gabrb1
0,1.0589547761392324,0.573,0.043,0,Ventromedial hypothalamus,Fgf14
0,1.0187867597943663,0.724,0.274,0,Ventromedial hypothalamus,Pcdh7
0,1.0015157154834413,0.805,0.456,0,Ventromedial hypothalamus,Luzp2
0,0.9982378022804472,0.562,0.028,0,Ventromedial hypothalamus,Rpl9-ps6
0,0.9570472968089556,0.618,0.228,0,Ventromedial hypothalamus,St3gal4
0,0.947418494228137,0.576,0.086,0,Ventromedial hypothalamus,B3galt1
0,0.9365666367449885,0.821,0.517,0,Ventromedial hypothalamus,Pitpnc1
0,0.9194971937681129,0.424,0.06,0,Ventromedial hypothalamus,Spag5
0,0.9150277529495741,0.656,0.25,0,Ventromedial hypothalamus,Plcb1
0,0.9050288257398873,0.746,0.327,0,Ventromedial hypothalamus,Trps1
0,0.9015390201582325,0.523,0.019,0,Ventromedial hypothalamus,Gm2000
0,0.8923112386810841,0.586,0.127,0,Ventromedial hypothalamus,Il1rapl1
0,0.8900487872182725,0.918,0.653,0,Ventromedial hypothalamus,Zbtb20
0,0.8690728970646808,0.784,0.429,0,Ventromedial hypothalamus,Gria1
0,0.8519066790719937,0.507,0.028,0,Ventromedial hypothalamus,Wdr89
0,0.7946019980959167,0.588,0.162,0,Ventromedial hypothalamus,Fat3
0,0.79095483268053,0.449,0.001,0,Ventromedial hypothalamus,Cfap77
0,0.7906438098479673,0.556,0.141,0,Ventromedial hypothalamus,Ncam2
0,0.7882629535775918,0.594,0.18,0,Ventromedial hypothalamus,Dgkb
0,0.7866064766836312,0.542,0.173,0,Ventromedial hypothalamus,Nrxn3
0,0.7850760051643045,0.532,0.114,0,Ventromedial hypothalamus,Tmtc2
0,0.7850664296251928,0.494,0.095,0,Ventromedial hypothalamus,Kirrel3
0,0.7829206579439101,0.521,0.058,0,Ventromedial hypothalamus,Pde4d
