myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.917,1.2820614930152425,0.8340000000000001,1.8496237580877908,0.979,0.653,Ventromedial hypothalamus,Nrxn1
0.892,1.5957121210417609,0.784,2.3021259637133578,0.946,0.664,Ventromedial hypothalamus,Lsamp
0.885,1.6322877251414303,0.77,2.354893406365469,0.875,0.326,Ventromedial hypothalamus,Gpc5
0.877,1.3032269089927913,0.754,1.8801589987569522,0.858,0.249,Ventromedial hypothalamus,Pcdh9
0.875,1.4227726208598725,0.75,2.0526270044271313,0.833,0.217,Ventromedial hypothalamus,Kcnd2
0.875,1.2826409045194438,0.75,1.850459672191536,0.856,0.264,Ventromedial hypothalamus,Adgrb3
0.871,1.2431444646943914,0.742,1.7934783543231634,0.917,0.518,Ventromedial hypothalamus,Trpm3
0.866,1.287471927441405,0.732,1.8574293650034703,0.847,0.285,Ventromedial hypothalamus,Mdga2
0.864,0.9325790856987446,0.728,1.3454272221743429,0.95,0.552,Ventromedial hypothalamus,Ntm
0.858,1.1733828244363749,0.716,1.692833581878643,0.859,0.361,Ventromedial hypothalamus,Npas3
0.857,1.1850821979975044,0.714,1.709712210096792,0.78,0.11,Ventromedial hypothalamus,Lrrc4c
0.852,1.6249938875612864,0.704,2.344370623059546,0.832,0.398,Ventromedial hypothalamus,mt-Co3
0.845,1.1030801867030717,0.69,1.5914083150593934,0.758,0.106,Ventromedial hypothalamus,Erbb4
0.843,1.0834372441376028,0.6859999999999999,1.5630695392317246,0.856,0.415,Ventromedial hypothalamus,Cadm2
0.841,1.7785113877327985,0.6819999999999999,2.5658495592466566,0.852,0.629,Ventromedial hypothalamus,mt-Atp6
0.833,1.1520499807724336,0.6659999999999999,1.6620567941166153,0.824,0.425,Ventromedial hypothalamus,mt-Co2
0.833,0.8984464064477332,0.6659999999999999,1.296184175086655,0.833,0.301,Ventromedial hypothalamus,Adgrl3
0.823,0.9918459571106023,0.6459999999999999,1.4309312436492339,0.744,0.155,Ventromedial hypothalamus,Nlgn1
0.819,0.9319999829128435,0.6379999999999999,1.344591753456958,0.775,0.222,Ventromedial hypothalamus,Rora
0.818,0.9056662402395725,0.6359999999999999,1.3066001934941842,0.743,0.162,Ventromedial hypothalamus,Magi2
0.817,1.2319535911846962,0.6339999999999999,1.7773333366075108,0.866,0.746,Ventromedial hypothalamus,mt-Co1
0.813,0.8655680789057366,0.6259999999999999,1.2487507749890931,0.652,0.041,Ventromedial hypothalamus,Rps27rt
0.81,0.8644931997622307,0.6200000000000001,1.2472000521792022,0.781,0.268,Ventromedial hypothalamus,Ctnnd2
0.81,0.855841634298496,0.6200000000000001,1.234718481588746,0.78,0.243,Ventromedial hypothalamus,Lrp1b
0.797,0.9136176196144067,0.5940000000000001,1.3180716090864837,0.708,0.183,Ventromedial hypothalamus,Mgat4c
0.797,0.9005363020292502,0.5940000000000001,1.2991992570780848,0.697,0.154,Ventromedial hypothalamus,Grid2
0.791,0.8303813703541838,0.5820000000000001,1.1979870850565633,0.836,0.459,Ventromedial hypothalamus,Gabrb1
0.78,0.6169348074211445,0.56,0.8900487872182725,0.918,0.653,Ventromedial hypothalamus,Zbtb20
0.771,0.691925718179048,0.542,0.9982378022804472,0.562,0.028,Ventromedial hypothalamus,Rpl9-ps6
0.769,0.7061691701432671,0.538,1.0187867597943663,0.724,0.274,Ventromedial hypothalamus,Pcdh7
0.766,0.7340115174213969,0.532,1.0589547761392324,0.573,0.043,Ventromedial hypothalamus,Fgf14
