p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.697645735280086e-35,1.603040762215912,0.857,0.137,7.348823469364254e-31,12,Rtn1
1.3049780079919889e-34,1.4279238173788078,0.771,0.049,1.6831606347080673e-30,12,Tmem130
3.0554251349096327e-34,1.5430604862404,0.857,0.096,3.940887339006444e-30,12,Ly6h
4.905495519398876e-32,1.545393605131044,0.829,0.081,6.327108120920671e-28,12,Resp18
7.385952740706749e-30,1.8905822888803177,0.943,0.513,9.526401844963565e-26,12,Pcsk1n
2.151325105814856e-29,1.7529775605716555,0.8,0.139,2.7747791214800016e-25,12,App
1.0068066242679443e-28,1.4306263921950244,0.771,0.06,1.2985791839807947e-24,12,Scg2
3.100661876804702e-25,1.4344941538855618,0.714,0.09,3.9992336887027045e-21,12,Atp1b1
6.111019791073991e-24,1.3630700603430614,0.8,0.213,7.881993326527234e-20,12,Gaa
7.18722197029047e-22,0.941213538642857,0.571,0.024,9.270078897280647e-18,12,Chgb
1.0630082533289364e-20,1.4332182377260172,0.857,0.316,1.3710680451436621e-16,12,CT010467.1
3.0933117163005476e-20,0.9171525560453183,0.514,0.029,3.989753451684446e-16,12,Tmem59l
6.652938180368341e-19,0.8386370120611116,0.543,0.036,8.580959665039086e-15,12,Faim2
1.4294849769144478e-18,0.9380875749566318,0.543,0.058,1.8437497232242548e-14,12,Spock2
2.7648544209517097e-18,0.9966409879100855,0.629,0.095,3.5661092321435154e-14,12,Scg5
2.9878274683699445e-18,0.7980087707232734,0.514,0.034,3.8536998687035544e-14,12,Caly
9.285657181628593e-18,0.8177542172192458,0.514,0.036,1.197664063286456e-13,12,Ptprn
2.5131730479167667e-17,0.6230844932399867,0.457,0.02,3.241490597203046e-13,12,Cx3cl1
4.928615318524106e-17,0.8341911070299195,0.486,0.042,6.356928037832392e-13,12,Syp
6.987718123380108e-17,0.5339237949971504,0.371,0.006,9.012758835535663e-13,12,St8sia3
3.193861529229134e-16,0.7486153753238458,0.429,0.02,4.1194426003997374e-12,12,Disp2
7.393368074933401e-16,0.7648590859215638,0.629,0.088,9.5359661430491e-12,12,Timp2
1.7941390117276265e-15,0.9743687650781797,0.457,0.045,2.3140804973262928e-11,12,Sv2a
6.999036379559562e-15,0.62610901225315585,0.4,0.018,9.027357122355922e-11,12,Spock1
9.22458455847912e-15,0.5636151521835064,0.429,0.024,1.1897869163526369e-10,12,Ache
9.114340263598948e-14,0.640044003922292,0.4,0.024,1.1755676071989923e-9,12,Syt4
1.8921577043952199e-13,0.8356946976203075,0.343,0.022,2.4405050071289547e-9,12,Gabra1
2.917459032208232e-13,0.8852652916241889,0.457,0.062,3.762938659742177e-9,12,Pam
5.649070262023932e-13,0.6861733615360487,0.371,0.03,7.286170823958468e-9,12,Syt1
8.741553182890102e-13,0.8865121421600017,0.486,0.126,1.1274855295291653e-8,12,Nrxn3
3.3702462758402753e-12,0.5156615886044221,0.343,0.019,4.346943646578787e-8,12,Cadm3
3.6171959612016827e-12,0.53312880000578,0.371,0.026,4.66545935075793e-8,12,Cd200
3.9430571990641925e-12,0.6724400370333072,0.457,0.054,5.0857551753529957e-8,12,Nsg1
6.805808141886724e-12,0.5186892813019901,0.314,0.017,8.778131341405496e-8,12,Tmem179
8.894665910051603e-12,0.9023626096714991,0.857,0.519,1.1472340090784557e-7,12,Atp6v0c
1.1251072976202262e-11,0.958179824305373,1,0.712,1.4511633924705677e-7,12,Psap
1.6719867964805326e-11,0.8642483408860995,0.829,0.406,2.156528570100591e-7,12,Serinc1
4.9410373199214847e-11,0.8205161701328432,0.629,0.215,6.372949935234731e-7,12,Clstn1
5.1409709446909187e-11,0.6581723476749329,0.286,0.014,6.630824324462347e-7,12,Cacna2d1
1.340548948071773e-10,0.6053049236079713,0.429,0.067,1.7290400332229729e-6,12,Pld3
1.3635105428611025e-10,0.8056219548331486,0.686,0.257,1.75865589818225e-6,12,Slc22a17
3.2354318101089913e-10,0.7294937283632261,0.429,0.065,4.1730599486785775e-6,12,Podxl2
5.389963025220978e-10,0.6943884671903967,0.743,0.278,6.951974309930018e-6,12,Hsp90b1
8.389350373651357e-10,0.5406546127987818,0.286,0.02,1.082058411193552e-5,12,Grin1
8.591161197138194e-10,0.7289069886923358,0.229,0.017,1.1080879712068842e-5,12,Vgf
1.245653289552612e-9,0.6795673134257338,0.543,0.158,1.606643612864959e-5,12,Ttc3
3.924224509298643e-9,0.7954317993505633,0.457,0.152,5.0614647720933896e-05,12,Atp6ap2
1.1378564923274238e-8,0.73523845835697,0.629,0.265,1.467607303803911e-4,12,Aplp1
1.1559388890379065e-8,0.6523138454321856,0.543,0.159,0.00014909299790810917,12,Npdc1
1.56847360597807e-8,0.75533568631868,0.743,0.386,2.0230172569905147e-4,12,Rtn3
1.6183408078968863e-8,0.5996368008919647,0.229,0.016,2.087335974025404e-4,12,Dlk1
1.780330211219171e-8,0.5309676110804268,0.571,0.155,2.2962699064304866e-4,12,Lgmn
1.9400558288874903e-8,0.7489930936244424,0.629,0.278,2.502284008099085e-4,12,Calr
2.3739035330312587e-8,0.6930917597036046,0.743,0.39,3.061860776903717e-4,12,Ctsd
3.198012430345543e-8,0.6022126368642737,0.429,0.12,4.124796432659681e-4,12,Pgrmc1
5.277683718322617e-8,0.6930917597036046,0.743,0.373,6.807156459892512e-4,12,Tspan7
5.960255700321257e-8,0.6200663016770722,0.4,0.105,7.687537802274358e-4,12,Thy1
2.0326762831080272e-7,0.5208025013090767,0.6,0.188,0.0026217458699527335,12,Lrpap1
2.1909528817986443e-7,0.6891296230037163,0.6,0.265,0.0028258910269438916,12,Hspa5
2.944605754736804e-7,0.6590000501740801,0.714,0.343,0.0037979525024595296,12,Ctsb
3.2710561356504053e-7,0.6634065179308865,0.714,0.412,0.0042190082037618926,12,Bsg
9.160092758722275e-7,0.5049850120941054,0.486,0.155,0.011814687640199991,12,Dner
1.2686401886255157e-6,0.5949248671290757,0.571,0.243,0.016362921152891903,12,Ndfip1
2.8636869155949075e-6,0.6485504168845821,0.857,0.642,0.03693583383734312,12,Itm2b
4.161214662041428e-6,0.5509622045688236,0.6,0.253,0.053671346711010336,12,Aplp2
4.3956898326099066e-6,0.6481186830110102,0.571,0.304,0.05669560746100258,12,Canx
4.651085060885492e-6,0.6615613629949115,0.543,0.296,0.05998969511530108,12,Saraf
1.287729660917308e-5,0.5275603120437254,0.571,0.278,0.1660913716651144,12,Gm1673
2.0407017261937617e-5,0.5540831878371841,0.571,0.304,0.26320970864447135,12,Rabac1
2.1061228741281318e-5,0.5097159212875784,0.771,0.478,0.27164772830504647,12,Atp6v0b
8.147599901309969e-5,0.503632706999117,0.743,0.453,1,12,Gabbr1
8.88199153844683e-5,0.5904762618149,0.514,0.292,1,12,Nptn
1.1821733684326606e-4,0.5540831878371845,0.257,0.058,1,12,Snhg11
1.6393475467132998e-4,0.5361211027751176,0.886,0.64,1,12,Itm2c
3.6421072949319893e-4,0.6660683482215926,0.6,0.438,1,12,Tecr
0.002260725172380442,0.6218261459810663,0.314,0.137,1,12,Meg3
8.918649878887728e-11,0.7180795404111238,0.91,0.69,1.150327461378939e-6,6,Nnat
