p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.436382782533159e-15,0.34235186784912197,0.719,0.498,1.5948158034465663e-11,2,Sox2ot
1.478218646012986e-13,0.3138220568736767,0.721,0.561,1.6412661626682184e-9,2,Pde4b
3.9027858180090085e-12,0.3026635844055886,0.581,0.406,4.333263093735402e-8,2,Daam2
1.0238095120378579e-11,0.2808199365562274,0.551,0.357,1.1367357012156337e-7,2,Gm29683
1.8420588677663962e-11,0.2988287328411598,0.312,0.159,2.0452379608810298e-7,2,Tshz2
3.265545232181176e-8,0.25880877512034295,0.547,0.387,3.62573487129076e-4,2,Nav3
4.083590318847093e-42,0.8536089399327169,0.651,0.217,4.5340103310159275e-38,3,Aldh1a1
1.548948473907771e-23,0.5297540021855631,0.365,0.107,1.719797490579798e-19,3,Tafa1
4.770300191640983e-21,0.4475892753380991,0.373,0.115,5.2964643027789833e-17,3,C730002L08Rik
1.510776798304271e-20,0.527574524690163,0.321,0.099,1.6774154791572322e-16,3,Sntg1
7.157265730161975e-15,0.3400138398194995,0.393,0.152,7.946712140198841e-11,3,Arhgef28
1.803083078332554e-13,0.2560401592309051,0.226,0.061,2.0019631418726347e-9,3,Gm28750
3.4449535632200626e-13,0.44993680824429294,0.508,0.286,3.824931941243235e-9,3,Kcnq3
5.341081755847245e-13,0.35892230236956385,0.44,0.23,5.930203073517196e-9,3,Vav3
4.262904288877208e-12,0.41499822677565285,0.484,0.267,4.733102631940364e-8,3,Esrrg
6.00430794559708e-12,0.3557741625502341,0.671,0.43,6.666583111996438e-8,3,Kcnma1
1.946777209356744e-10,0.3556057605850995,0.532,0.338,2.1615067355487926e-6,3,Cdh19
2.7976990088203533e-10,0.26245388588816754,0.321,0.134,3.106285209493238e-6,3,Nmnat2
5.18239427493567e-10,0.3472061832199014,0.595,0.361,5.754012363461074e-6,3,9630028H03Rik
1.6284630012677665e-9,0.3761633439487848,0.77,0.601,1.8080824703076012e-5,3,Cntn1
1.961845432515698e-9,0.297840128012547,0.44,0.268,2.1782369837221797e-5,3,Nrp1
2.017694879076999e-9,0.29973391511440106,0.671,0.46,2.240246624239192e-5,3,Sgip1
6.146623253841101e-9,0.2937782770500537,0.5,0.295,6.824595798739775e-5,3,Chl1
1.3444622555745807e-8,0.2700035277468978,0.52,0.315,1.492756442364457e-4,3,9330159F19Rik
1.8718289382739803e-8,0.302237127442931,0.385,0.219,2.0782916701656004e-4,3,Neat1
1.970137375254e-8,0.2770220487244756,0.484,0.313,2.187443527744516e-4,3,Dpf3
2.132916112731984e-8,0.25560269937586344,0.306,0.154,2.3681767599663216e-4,3,Rbms3
3.007311591266906e-8,0.2541240394651534,0.456,0.271,3.339018059783646e-4,3,Msmo1
5.5248310579177445e-8,0.2790790583329154,0.417,0.244,6.134219923606072e-4,3,A330076C08Rik
7.235355030434914e-8,0.27721409831750443,0.599,0.434,8.033414690291885e-4,3,Eps8
9.176725589895745e-8,0.2644534765765695,0.548,0.365,0.0010188918422461245,3,Cpeb3
1.393082706830711e-7,0.2787759045956074,0.484,0.327,0.0015467397293941385,3,Vegfa
4.472570455601052e-7,0.2532362316825766,0.675,0.51,0.004965894976853848,3,Prkd1
6.895354687126386e-7,0.3275924169344442,0.643,0.47,0.007655912309116427,3,Lrmda
9.360459922938859e-7,0.2583488431072728,0.349,0.187,0.010392918652439015,3,Shroom3
1.641100693042117e-6,0.2543354347113157,0.548,0.381,0.018221140994846625,3,Wwc1
5.45593826577074e-6,0.2504804907402671,0.639,0.475,0.06057728256485252,3,Kcnn2
6.825770914167917e-30,0.8747330241726136,0.437,0.107,7.578653446000638e-26,4,Slc38a1
1.0293663407699947e-26,0.699285747772723,0.593,0.231,1.142905448156925e-22,4,Agbl4
8.167225985442612e-23,0.4619301699791829,0.251,0.013,9.068071011636932e-19,4,Pdzrn3
1.1929820143848e-22,0.4512401603170062,0.407,0.08,1.3245679305714434e-18,4,Sulf1
4.2023635758872347e-22,0.4863358977994945,0.317,0.072,4.665884278307597e-18,4,Cacna2d3
