p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.466141351798721e-214,1.5307525291477084,0.957,0.335,2.3503712010685294e-210,2,Fos
6.798095375579983e-209,1.4466216677440529,0.791,0.161,1.089802669659227e-204,2,Jun
5.537868621058429e-119,1.0068293684033054,0.638,0.138,8.877757186418767e-115,2,Junb
6.83802550178039e-114,1.0127922672331218,0.619,0.147,1.0962038681904141e-109,2,Btg2
6.356433577804345e-78,0.5452304494528617,0.427,0.058,1.0189998668578145e-73,2,Egr1
1.4254818894553232e-43,0.5420447080663204,0.585,0.257,2.2851900169858285e-39,2,Jund
3.959633270503292e-40,0.6475271011662372,0.429,0.183,6.347688095943827e-36,2,Ccn1
6.283986317867975e-36,0.5895615793674329,0.808,0.581,1.007385846617415e-31,2,Gadd45g
2.112989258327635e-102,1.0992182139741271,0.799,0.2,3.387333080025032e-98,12,Pde10a
1.354359691742774e-94,1.1725087488796917,0.889,0.449,2.171174021832841e-90,12,Dclk1
2.275482380554375e-54,0.7206226169306748,0.5,0.126,3.647825804266719e-50,12,Cebpb
1.2645832882651e-49,0.722154586311265,0.393,0.094,2.0272534694177818e-45,12,Emd
2.298469660642473e-39,0.574737116894338,0.449,0.132,3.684676712975948e-35,12,Arhgap31
1.1470776260763957e-30,0.6111585717731705,0.803,0.365,1.8388801423630698e-26,12,Fos
9.618447488245116e-19,0.5353937164143603,0.808,0.613,1.5419333168405744e-14,12,Fabp7
2.235200156279128e-154,1.1195220961943713,0.968,0.738,3.58324937053107e-150,1,Actb
1.1778207183504264e-151,1.061877885688337,0.83,0.322,1.8881643935875685e-147,1,Lrrc8a
2.4059319640611022e-130,0.8899061842500926,0.765,0.266,3.856949531586353e-126,1,Sfxn5
5.5550118838373537e-98,0.6788100453389672,0.636,0.188,8.905239550979661e-94,1,Ttyh2
2.949889356510996e-91,0.7702417803783702,0.869,0.537,4.728967627422778e-87,1,Sdc4
3.70328427412398e-66,0.5026143091864418,0.4,0.083,5.936735019848152e-62,1,Notch2
3.7275940814813146e-43,0.5195583491644358,0.588,0.316,5.975706072022695e-39,1,Nfia
3.3766234225513354e-40,0.7599846000311883,0.916,0.74,5.4130650086920457e-36,7,Scd2
1.3574621554913568e-35,0.5870643823016377,0.767,0.457,2.176147581468194e-31,7,Tmem47
2.4096412379983335e-32,0.6085776094118995,0.977,0.816,3.8628958686351284e-28,7,Cpe
5.979891535976191e-25,0.5896771198005901,0.851,0.607,9.586364121323431e-21,9,Id4
4.403177076171292e-54,0.7728565129149807,0.9,0.748,7.058733170810198e-50,4,Actb
1.0733120026733051e-37,0.603129625754298,0.586,0.323,1.7206264714855753e-33,4,Nfia
4.40526032407196e-19,0.5127945917739984,0.723,0.4,7.0620728255197594e-15,18,Cd9
9.688308375304965e-43,3.0764566216232514,0.652,0.106,1.553132715645139e-38,23,Snhg11
1.2936925438814426e-40,4.003039726345964,0.609,0.189,2.0739185170963407e-36,23,Meg3
7.267998600071174e-34,2.3614772773344623,0.63,0.146,1.1651328555774099e-29,23,Scg2
1.550235257458031e-25,1.403244874484178,0.826,0.312,2.4851821412309696e-21,23,Ndn
2.7586226523450525e-24,0.9414261155310144,0.435,0.029,4.422347973974354e-20,23,Rian
1.1099458215712382e-22,1.1553205743481427,0.5,0.098,1.7793541465608518e-18,23,Atp1b1
3.844388227573844e-22,1.3060676488554164,0.717,0.312,6.162938767623629e-18,23,Rtn1
8.871268660800063e-21,0.7666875525245669,0.391,0.022,1.422153079012858e-16,23,Slc32a1
1.2151173321888355e-20,1.3889096718148055,0.435,0.075,1.9479545952319221e-16,23,Dlk1
6.699193227945585e-20,0.877512754960545,0.522,0.082,1.0739476663719566e-15,23,Map1b
1.0195368608223302e-19,1.316333598370073,0.37,0.038,1.6344195415842776e-15,23,Vgf
8.46623420494741e-18,0.8507022793176073,0.435,0.058,1.3572220053951193e-13,23,Celf4
1.8346017612413965e-17,1.2031849384073818,0.609,0.2,2.9410500834460826e-13,23,Resp18
