p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.844472191548357e-5,0.60385214251567,0.765,0.455,0.18686347772576406,4,Id4
1.850532336611447e-5,0.580846392248924,0.647,0.397,0.1874774310221057,4,CT010467.1
1.3770500230951337e-53,1.9558727170154555,0.921,0.117,1.39508937839768e-49,2,Egr1
4.859777481463444e-46,2.0374747054186626,1,0.287,4.923440566470615e-42,2,Fos
1.1745651160642544e-37,1.4693018626613585,0.842,0.097,1.1899519190846961e-33,2,Junb
1.3883074388357882e-24,1.1680941699264433,0.605,0.073,1.406494266284537e-20,2,Ier2
4.7845589255660044e-23,1.1485177949578513,0.658,0.113,4.847236647490919e-19,2,Btg2
5.104189161174398e-21,0.9264433930299186,0.539,0.053,5.1710540391857824e-17,2,Fosb
2.0441186716510786e-19,0.75699516512546,0.513,0.05,2.0708966262497075e-15,2,Zfp36
2.350608574016734e-19,1.1000384423453002,0.789,0.33,2.3814015463363534e-15,2,Gadd45g
7.9566807017471385e-19,0.7196934296981189,0.447,0.043,8.060913218940025e-15,2,Nr4a1
2.4921227239523338e-14,1.066769012212701,0.566,0.127,2.5247695316361093e-10,2,Jun
1.4671565552428115e-12,0.5326173482995199,0.395,0.067,1.4863763061164923e-8,2,Socs3
3.388454258019662e-11,0.558826410879483,0.474,0.093,3.4328430087997196e-7,2,Ccn1
1.6912632693625747e-8,0.7709180149699151,0.789,0.593,1.7134188181912245e-4,2,Id2
1.928937558436866e-8,0.6793826234038658,0.618,0.333,1.954206640452389e-4,2,Hes5
9.579911700622769e-8,0.586899122581281,0.566,0.293,9.705408543900927e-4,2,Zfp36l1
1.554390100329128e-5,0.5349843196938149,0.895,0.743,0.15747526106434395,2,Mt2
8.182659486757454e-30,2.3966318794764216,0.967,0.277,8.289852326033976e-26,7,Gfap
2.920993781747033e-20,2.126532405928932,0.5,0,2.959258800287919e-16,7,Myoc
5.092401556323532e-18,1.3469243144431577,0.767,0.124,5.1591120167113706e-14,7,Fbxo2
2.5877859415399276e-15,1.4447482673571745,0.867,0.506,2.6216859373741007e-11,7,Aqp4
6.832841717546158e-14,1.0960981654122324,0.8,0.179,6.922351944046013e-10,7,Slc38a1
1.2006590149155078e-13,0.6125077355069581,0.367,0.003,1.216387648010901e-9,7,Slc36a2
6.240637339752081e-13,1.1196528933911294,0.9,0.321,6.322389688902833e-9,7,Id3
1.5471094763952596e-12,0.7998171774650068,0.567,0.069,1.5673766105360374e-8,7,Nbl1
2.9228799191597536e-12,0.7443615729050418,0.467,0.032,2.9611696461007465e-8,7,Tppp3
1.1650565764197646e-11,0.8384384714923142,0.6,0.113,1.1803188175708635e-7,7,S100a6
1.2477042706355887e-11,0.7286503259542022,0.333,0.006,1.264049196580915e-7,7,Aebp1
4.627589862567661e-11,0.5849625007211562,0.267,0,4.6882112897672973e-7,7,Sema3b
5.252377593794915e-11,0.6717479347197253,0.467,0.043,5.321183740273628e-7,7,Ablim2
7.502889246369989e-11,0.5525410230287788,0.267,0,7.601177095497436e-7,7,Cd59a
1.2697149691693763e-10,0.8323511416133993,0.9,0.454,1.286348235265495e-6,7,Tuba1a
3.1929124753318185e-10,1.213356346194192,0.8,0.46,3.2347396287586653e-6,7,Fxyd1
3.428249083132089e-10,0.544225754816775,0.3,0.006,3.4731591461211197e-6,7,Cidea
4.1266983810672016e-10,0.7124775118852555,0.433,0.052,4.180758129859182e-6,7,Hspb8
1.0056645347607385e-9,0.8553122900567106,0.333,0.029,1.0188387401661042e-5,7,Vim
4.432754751852734e-9,0.5626902308626307,0.467,0.055,4.490823839102005e-5,7,Miat
5.206767946653302e-9,0.6110660156271022,0.433,0.069,5.2749766067544604e-5,7,Slc16a1
9.37796871313451e-9,0.6093513975818581,0.5,0.084,9.500820103276572e-5,7,Slc6a6
1.2517327463339697e-8,0.5237357014707098,0.4,0.04,1.2681304453109448e-4,7,Pdgfa
1.6903592884553492e-8,0.5917006907601711,0.467,0.075,1.7125029951341143e-4,7,Aldh1a1
2.280660632211406e-8,0.8417559665808048,0.867,0.581,2.3105372864933753e-4,7,S100b
4.111923888816352e-8,0.8376930852494924,0.733,0.309,4.165790091759846e-4,7,Rida
